ord	size	maxc2+	maxc3+
100	2000	5584	5584
100	2050	6235	6235
100	2100	6893	6893
100	2150	7640	7640
100	2200	8555	8555
100	2250	9672	9672
100	2300	10945	10945
100	2350	12438	12438
100	2400	13841	13841
100	2450	15774	15774
100	2500	17796	17796
100	2550	20265	20265
100	2600	23082	23082
100	2650	26288	26288
100	2700	30286	30286
100	2750	34728	34728
100	2800	40489	40489
100	2850	46873	46873
100	2900	53943	53943
100	2950	63439	63439
100	3000	73756	73756
100	3333	242339	242339
10k	1000	1000	0
10k	2000	1998	1
10k	3000	2998	1
10k	4000	3998	1
10k	5000	4998	1
10k	6000	5998	1
10k	7000	6998	1
10k	8000	7998	1
10k	9000	8998	1
10k	10000	9996	2
10k	20000	19984	8
10k	30000	29948	26
10k	40000	39836	82
10k	50000	49670	166
10k	60000	59465	270
10k	70000	69139	438
10k	80000	78723	652
10k	90000	88198	923
10k	100000	97510	1278
10k	125000	120020	2615
10k	150000	141684	4454
10k	175000	162029	7101
10k	200000	181089	10615
1M	2000	2000	0
1M	4000	4000	0
1M	6000	6000	0
1M	8000	8000	0
1M	10000	10000	0
1M	12000	12000	0
1M	14000	14000	0
1M	16000	16000	0
1M	18000	18000	0
1M	20000	20000	0
1M	30000	30000	0
1M	40000	40000	0
1M	50000	50000	0
1M	60000	60000	0
1M	70000	70000	0
1M	80000	80000	0
1M	90000	90000	0
1M	100000	100000	0
1M	150000	150000	0
1M	200000	200000	0
1M	250000	250000	0
1M	500000	500000	0
1M	750000	749996	2
1M	1000000	999992	4
1M	1250000	1249990	5
1M	1500000	1499990	5
1M	1750000	1749984	8
1M	2000000	1999970	15
1M	3000000	2999914	43
1M	4000000	3999814	93
1M	5000000	4999648	176
