Size,Ver1½@hashset min,Ver1½@hashset mean,Ver1½@hashset max,Ver2½-GP@hashset min,Ver2½-GP@hashset mean,Ver2½-GP@hashset max,Ver2½-GPX@hashset min,Ver2½-GPX@hashset mean,Ver2½-GPX@hashset max,Ver3½-GP@hashset min,Ver3½-GP@hashset mean,Ver3½-GP@hashset max,Ver3½-GPX@hashset min,Ver3½-GPX@hashset mean,Ver3½-GPX@hashset max,Ver1½@std_set min,Ver1½@std_set mean,Ver1½@std_set max,Ver2½-GP@std_set min,Ver2½-GP@std_set mean,Ver2½-GP@std_set max,Ver2½-GPX@std_set min,Ver2½-GPX@std_set mean,Ver2½-GPX@std_set max,Ver3½-GP@std_set min,Ver3½-GP@std_set mean,Ver3½-GP@std_set max,Ver3½-GPX@std_set min,Ver3½-GPX@std_set mean,Ver3½-GPX@std_set max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max
2000,0.0245897,0.0255386,0.0262955,0.010595,0.0109105,0.0112328,0.0103893,0.0109193,0.0118681,0.0108129,0.0112135,0.0115879,0.0113462,0.0116236,0.0117743,0.0306481,0.0307677,0.0311346,0.0259434,0.0262143,0.0266252,0.0285057,0.0286511,0.02882,0.0271493,0.027841,0.0291881,0.0318911,0.0323893,0.0325506,0.0072479,0.00741334,0.007631,0.0063054,0.00641018,0.0065117,0.0066266,0.00673296,0.0069019,0.0065374,0.00663828,0.0067473,0.0073168,0.00743274,0.0076399
2050,0.0277695,0.0279821,0.0284571,0.0117923,0.0120253,0.0125921,0.0115801,0.0116973,0.011814,0.0120767,0.0122387,0.0126627,0.0124873,0.0125753,0.0127163,0.038062,0.039223,0.0415194,0.0303366,0.030645,0.0310484,0.033246,0.033895,0.0346435,0.0316951,0.0327218,0.0337988,0.0375362,0.0385912,0.0396468,0.0086338,0.00870024,0.0088159,0.0073283,0.00738408,0.0074348,0.0077086,0.00776184,0.0079531,0.0075422,0.00757726,0.0076159,0.0084655,0.00852994,0.0086226
2100,0.0329325,0.0337984,0.0342305,0.0134406,0.0140692,0.0145725,0.0129105,0.0135711,0.0140415,0.0136769,0.0143095,0.0149746,0.0139301,0.0144216,0.0149989,0.042033,0.0426541,0.0441362,0.0345289,0.0348381,0.035583,0.0375783,0.037974,0.0383637,0.0360012,0.0367759,0.0391515,0.0420304,0.0428742,0.0444027,0.009737,0.00990174,0.0100829,0.0082406,0.00830818,0.0083882,0.0085213,0.00860936,0.0088287,0.0084801,0.00855594,0.0086234,0.0093775,0.0094625,0.009543
2150,0.0382828,0.0388977,0.0399707,0.0152858,0.0153957,0.0156055,0.0145363,0.0146685,0.0148266,0.015383,0.0154887,0.0155836,0.0155398,0.0156561,0.0157462,0.0503231,0.0519615,0.0571821,0.0402528,0.0406543,0.0417531,0.0435724,0.0441826,0.0460394,0.0410017,0.0411844,0.0414444,0.0474907,0.0477266,0.0479429,0.0113817,0.0114966,0.0116481,0.0093951,0.00944674,0.0095552,0.009644,0.00981052,0.0101165,0.0095113,0.00963422,0.0098156,0.0104677,0.0106741,0.0108973
2200,0.0465713,0.0475069,0.049411,0.0174429,0.0177077,0.0184557,0.0166836,0.0169706,0.017962,0.0174698,0.0178854,0.0187409,0.0175008,0.0178957,0.0186955,0.060962,0.0616969,0.0632237,0.0463339,0.046956,0.0483105,0.0500531,0.0502567,0.0504771,0.0483083,0.0486604,0.0489764,0.0554244,0.0556758,0.0560022,0.0139256,0.0140166,0.0141666,0.0107588,0.0108261,0.0108805,0.0110447,0.0111211,0.0112219,0.0110126,0.0110854,0.0112839,0.0120358,0.0121477,0.0122311
2250,0.0571563,0.0578217,0.0591692,0.0198146,0.0200968,0.020682,0.0187441,0.0189613,0.0192247,0.0202606,0.020499,0.0206793,0.0202958,0.0204539,0.0207643,0.076231,0.0772158,0.0796191,0.054185,0.0548526,0.0568858,0.0570652,0.0578024,0.0589479,0.0561642,0.0567457,0.0572894,0.0635466,0.0639757,0.0648279,0.0170084,0.0171368,0.0173892,0.0124951,0.012545,0.0126378,0.0126663,0.0127607,0.0128555,0.0128142,0.0128938,0.0131062,0.0138499,0.0139719,0.0140795
2300,0.0670079,0.0671857,0.0674139,0.0225236,0.0226424,0.0227755,0.0212837,0.0214776,0.0218923,0.0233359,0.0236442,0.02378,0.0231952,0.0233934,0.0237852,0.0918309,0.0924395,0.0928619,0.0628439,0.0631177,0.0636884,0.0663234,0.066614,0.0675378,0.0658954,0.0666353,0.0679014,0.0744475,0.0758596,0.078473,0.0198532,0.0200714,0.0203184,0.0142399,0.0144449,0.0146346,0.0144207,0.0145317,0.0146397,0.0150857,0.0152819,0.0154848,0.0162307,0.0164206,0.0168155
2350,0.0810533,0.0817433,0.0825607,0.0267375,0.0268507,0.02696,0.0247444,0.0250138,0.0253292,0.0269506,0.0270974,0.0272342,0.0265272,0.0267223,0.0270951,0.107684,0.108312,0.109501,0.0740331,0.0744621,0.0749798,0.0777102,0.078081,0.0784967,0.0760805,0.076427,0.0770429,0.0862659,0.0868036,0.0880788,0.0237741,0.0238411,0.0239062,0.0166947,0.0167997,0.0169905,0.0166122,0.0167171,0.0167756,0.0169236,0.0169641,0.0170688,0.0182651,0.0184548,0.0186326
2400,0.0992957,0.0996307,0.100109,0.0308246,0.0310058,0.0314446,0.0279819,0.0283148,0.0286676,0.0311314,0.031252,0.0313153,0.030573,0.0306532,0.030739,0.135452,0.137109,0.139125,0.0884438,0.0891428,0.0902114,0.091286,0.0919869,0.0931684,0.0901272,0.0903214,0.0909014,0.100521,0.101202,0.101964,0.0292178,0.0294903,0.0299982,0.0197727,0.0199031,0.0201456,0.0191807,0.0193881,0.0195927,0.0196211,0.019789,0.0199323,0.0207214,0.0211421,0.0216874
2450,0.118452,0.119143,0.119782,0.0354144,0.0357822,0.0361159,0.0322401,0.0325546,0.032738,0.0358073,0.0363204,0.0377728,0.0349011,0.0351049,0.0352558,0.160071,0.162605,0.169592,0.102147,0.102614,0.103427,0.105293,0.106269,0.109149,0.104119,0.105587,0.107914,0.115517,0.116422,0.119027,0.0349532,0.0351834,0.0353885,0.0226942,0.0230352,0.0234298,0.022319,0.0225485,0.0228212,0.0229227,0.0233547,0.0244749,0.0239669,0.0241456,0.0245161
