Size,Ver1½@hashset min,Ver1½@hashset mean,Ver1½@hashset max,Ver2½-GP@hashset min,Ver2½-GP@hashset mean,Ver2½-GP@hashset max,Ver2½-GPX@hashset min,Ver2½-GPX@hashset mean,Ver2½-GPX@hashset max,Ver3½-GP@hashset min,Ver3½-GP@hashset mean,Ver3½-GP@hashset max,Ver3½-GPX@hashset min,Ver3½-GPX@hashset mean,Ver3½-GPX@hashset max,Ver1½@std_set min,Ver1½@std_set mean,Ver1½@std_set max,Ver2½-GP@std_set min,Ver2½-GP@std_set mean,Ver2½-GP@std_set max,Ver2½-GPX@std_set min,Ver2½-GPX@std_set mean,Ver2½-GPX@std_set max,Ver3½-GP@std_set min,Ver3½-GP@std_set mean,Ver3½-GP@std_set max,Ver3½-GPX@std_set min,Ver3½-GPX@std_set mean,Ver3½-GPX@std_set max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max
10000,0,nan,0,0.0040195,0.00411543,0.0042517,0.0037473,0.00387433,0.0039531,0.0037825,0.00382223,0.0038767,0.0038124,0.0038706,0.0039513,0,nan,0,0.0032127,0.00356413,0.0042207,0.0032506,0.00347647,0.0038923,0.0028324,0.00287447,0.0029155,0.0027772,0.00285093,0.0029831,0,nan,0,0.0014907,0.0014951,0.0014987,0.0014884,0.00149013,0.0014912,0.0014372,0.00144547,0.0014578,0.0014269,0.00143593,0.0014508
20000,0,nan,0,0.0068649,0.00694383,0.0070227,0.0067774,0.00686073,0.0069698,0.0067827,0.00699083,0.0072647,0.0067621,0.00687303,0.0069779,0,nan,0,0.00714,0.00718883,0.0072583,0.0071708,0.00724043,0.0073515,0.0069972,0.00701377,0.0070224,0.0069899,0.0071888,0.0075287,0,nan,0,0.0023271,0.00236747,0.0023958,0.0023297,0.0023311,0.0023326,0.0028952,0.0029415,0.0030309,0.0028934,0.00293263,0.0029544
30000,0,nan,0,0.0101263,0.0103892,0.0107046,0.0102983,0.0105387,0.01083,0.009851,0.0099421,0.0100685,0.0096576,0.00994763,0.0101143,0,nan,0,0.0127829,0.0129511,0.0130804,0.0129414,0.013089,0.0131896,0.0126151,0.0127398,0.0129267,0.0124353,0.012917,0.0137849,0,nan,0,0.0034142,0.00345283,0.0035196,0.0034688,0.00349497,0.0035313,0.0042977,0.00432567,0.0043554,0.0041691,0.00421297,0.0042669
40000,0,nan,0,0.0142434,0.0144867,0.0147063,0.0142289,0.0147864,0.0152798,0.0133975,0.013802,0.0140304,0.013709,0.013877,0.0140565,0,nan,0,0.0196553,0.0199386,0.0202278,0.0200141,0.0204245,0.0210005,0.0194287,0.0197015,0.0199225,0.0198991,0.0200403,0.0201311,0,nan,0,0.0045953,0.00462517,0.0046573,0.0046315,0.00463897,0.0046504,0.0054511,0.0054877,0.0055538,0.0054753,0.00555823,0.0056166
50000,0,nan,0,0.0195895,0.0200195,0.0205779,0.0200828,0.0201115,0.0201499,0.0185611,0.0196166,0.0216837,0.0188324,0.019627,0.021141,0,nan,0,0.0286983,0.0297644,0.031278,0.0289628,0.0291327,0.0293958,0.0280325,0.0288036,0.0293787,0.0285404,0.0288099,0.029168,0,nan,0,0.0060187,0.00603527,0.0060517,0.005992,0.0060495,0.0061107,0.006954,0.00701,0.0070827,0.0070021,0.00702913,0.0070719
60000,0,nan,0,0.0257523,0.0260281,0.0264576,0.0258068,0.0262162,0.0268592,0.0234091,0.0237115,0.0240059,0.0237592,0.0244385,0.0251668,0,nan,0,0.040664,0.0435448,0.048584,0.0421081,0.0425348,0.0431851,0.0404412,0.0409517,0.0417475,0.0412962,0.0421879,0.0430644,0,nan,0,0.0077172,0.00778227,0.0078845,0.0077098,0.0078047,0.0078906,0.0087676,0.00878867,0.0088096,0.008819,0.00895237,0.0090284
70000,0,nan,0,0.0333749,0.0357335,0.0402367,0.0330517,0.0335298,0.0340156,0.0293474,0.0296221,0.0298841,0.0300463,0.0303559,0.0306277,0,nan,0,0.056255,0.0572228,0.0588961,0.0577343,0.0589955,0.0606803,0.0555543,0.0560703,0.0568131,0.0573587,0.0591814,0.0622593,0,nan,0,0.0094033,0.0094239,0.0094423,0.0095166,0.00954143,0.0095592,0.0106829,0.010727,0.0108119,0.0108812,0.0110358,0.0111312
80000,0,nan,0,0.0407849,0.0410284,0.0412524,0.0412212,0.0416994,0.0419632,0.0350774,0.0353446,0.0356069,0.0359767,0.037156,0.0393722,0,nan,0,0.0765375,0.0773511,0.0786962,0.0766867,0.0775509,0.0788917,0.0747615,0.0759732,0.0770271,0.0779304,0.0797803,0.0819815,0,nan,0,0.0114795,0.0115361,0.0115735,0.0115872,0.0116886,0.0118175,0.0130133,0.0130913,0.0132126,0.0133333,0.0134584,0.0135223
90000,0,nan,0,0.0485097,0.0498147,0.0519783,0.0503631,0.0513055,0.0529268,0.0410203,0.0416872,0.0429318,0.0425836,0.0428557,0.0430072,0,nan,0,0.100284,0.102556,0.106183,0.102362,0.110609,0.1249,0.0957736,0.09772,0.101495,0.101951,0.102484,0.103014,0,nan,0,0.0137867,0.0137936,0.0137977,0.0141001,0.0141987,0.0142859,0.0155621,0.0156915,0.0157783,0.0163149,0.0164936,0.0166596
100000,0,nan,0,0.0580263,0.0581788,0.0584042,0.0613465,0.062507,0.0640612,0.0482387,0.0483778,0.0486492,0.0513381,0.0520991,0.0526126,0,nan,0,0.123693,0.125531,0.126765,0.129128,0.131918,0.13429,0.122873,0.123553,0.124349,0.132145,0.133362,0.13449,0,nan,0,0.0161714,0.0163079,0.0164997,0.016899,0.017219,0.0175854,0.0184209,0.018682,0.0188499,0.019427,0.0194644,0.0195294
125000,0,nan,0,0.0860099,0.0870184,0.0881979,0.0921091,0.0943273,0.0969097,0.0675507,0.0678143,0.0681617,0.0743857,0.0754243,0.0765906,0,nan,0,0.206065,0.207938,0.20914,0.226976,0.227546,0.228524,0.202959,0.204875,0.206322,0.230804,0.234243,0.236853,0,nan,0,0.0235897,0.0239205,0.0241943,0.0254641,0.0256216,0.0258057,0.0265782,0.0271099,0.0281688,0.0296656,0.0298263,0.0301286
150000,0,nan,0,0.121408,0.122285,0.122915,0.135657,0.137821,0.139363,0.0931988,0.0940135,0.0947553,0.107866,0.108192,0.108647,0,nan,0,0.338376,0.340466,0.343167,0.390416,0.393607,0.39831,0.341372,0.345573,0.351409,0.406811,0.40872,0.410316,0,nan,0,0.0331947,0.0336364,0.0342483,0.0370553,0.0374474,0.0377654,0.0369266,0.037611,0.0387081,0.0433769,0.0435873,0.0437198
175000,0,nan,0,0.162429,0.163963,0.164853,0.185547,0.185766,0.186162,0.124116,0.125665,0.12834,0.151269,0.152564,0.153949,0,nan,0,0.423678,0.431128,0.436449,0.52255,0.532023,0.549761,0.424321,0.430104,0.439519,0.556798,0.577695,0.609463,0,nan,0,0.0453592,0.0454892,0.0456597,0.0525529,0.0528667,0.0532147,0.0504994,0.0505856,0.0507436,0.061946,0.0621496,0.0622784
200000,0,nan,0,0.208729,0.215416,0.226361,0.246381,0.25008,0.254554,0.158155,0.159323,0.160149,0.202315,0.204091,0.206532,0,nan,0,0.571143,0.572742,0.57434,0.737115,0.737881,0.739135,0.574787,0.578777,0.581163,0.795221,0.799788,0.804299,0,nan,0,0.0574739,0.0576512,0.0577775,0.069627,0.0700142,0.0705896,0.0643709,0.0645091,0.0645912,0.0823114,0.0825756,0.0827116
