Size,Ver1½@hashset min,Ver1½@hashset mean,Ver1½@hashset max,Ver2½-GP@hashset min,Ver2½-GP@hashset mean,Ver2½-GP@hashset max,Ver2½-GPX@hashset min,Ver2½-GPX@hashset mean,Ver2½-GPX@hashset max,Ver3½-GP@hashset min,Ver3½-GP@hashset mean,Ver3½-GP@hashset max,Ver3½-GPX@hashset min,Ver3½-GPX@hashset mean,Ver3½-GPX@hashset max,Ver1½@std_set min,Ver1½@std_set mean,Ver1½@std_set max,Ver2½-GP@std_set min,Ver2½-GP@std_set mean,Ver2½-GP@std_set max,Ver2½-GPX@std_set min,Ver2½-GPX@std_set mean,Ver2½-GPX@std_set max,Ver3½-GP@std_set min,Ver3½-GP@std_set mean,Ver3½-GP@std_set max,Ver3½-GPX@std_set min,Ver3½-GPX@std_set mean,Ver3½-GPX@std_set max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max
250000,0,nan,0,0.183858,0.184858,0.186378,0,nan,0,0.151436,0.152316,0.153877,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
500000,0,nan,0,0.356286,0.356662,0.357324,0,nan,0,0.331478,0.332955,0.334396,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
750000,0,nan,0,0.517333,0.5184,0.519111,0,nan,0,0.516273,0.517414,0.519519,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
1000000,0,nan,0,0.678879,0.681691,0.685052,0,nan,0,0.690194,0.690704,0.691589,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
1250000,0,nan,0,0.857052,0.858742,0.860201,0,nan,0,0.862286,0.864823,0.867323,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
1500000,0,nan,0,1.0248,1.02603,1.02816,0,nan,0,1.04523,1.04814,1.05312,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
1750000,0,nan,0,1.21139,1.21414,1.21685,0,nan,0,1.24435,1.2485,1.25195,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
2000000,0,nan,0,1.39655,1.39924,1.40191,0,nan,0,1.40659,1.41046,1.41451,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
3000000,0,nan,0,2.19324,2.2014,2.21018,0,nan,0,2.03726,2.07228,2.13828,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
4000000,0,nan,0,3.12455,3.12699,3.12971,0,nan,0,2.67988,2.68486,2.6895,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
5000000,0,nan,0,4.17146,4.17703,4.18271,0,nan,0,3.4461,3.46055,3.4736,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0
