Size,Ver1½@HashSet min,Ver1½@HashSet mean,Ver1½@HashSet max,Ver2-GP@HashSet min,Ver2-GP@HashSet mean,Ver2-GP@HashSet max,Ver2½-GP@HashSet min,Ver2½-GP@HashSet mean,Ver2½-GP@HashSet max,Ver2½-GPX@HashSet min,Ver2½-GPX@HashSet mean,Ver2½-GPX@HashSet max,Ver3½-GP@HashSet min,Ver3½-GP@HashSet mean,Ver3½-GP@HashSet max,Ver3½-GPX@HashSet min,Ver3½-GPX@HashSet mean,Ver3½-GPX@HashSet max,Ver3½=GP1@HashSet min,Ver3½=GP1@HashSet mean,Ver3½=GP1@HashSet max,Ver3½=GP4@HashSet min,Ver3½=GP4@HashSet mean,Ver3½=GP4@HashSet max,Ver3½=GP5@HashSet min,Ver3½=GP5@HashSet mean,Ver3½=GP5@HashSet max,Ver3½=GP6@HashSet min,Ver3½=GP6@HashSet mean,Ver3½=GP6@HashSet max,Ver3½=GP8@HashSet min,Ver3½=GP8@HashSet mean,Ver3½=GP8@HashSet max,Ver3½=GP16@HashSet min,Ver3½=GP16@HashSet mean,Ver3½=GP16@HashSet max,Ver3½=GP64@HashSet min,Ver3½=GP64@HashSet mean,Ver3½=GP64@HashSet max,Ver3½=GP256@HashSet min,Ver3½=GP256@HashSet mean,Ver3½=GP256@HashSet max,Ver1½@SortedSet min,Ver1½@SortedSet mean,Ver1½@SortedSet max,Ver2-GP@SortedSet min,Ver2-GP@SortedSet mean,Ver2-GP@SortedSet max,Ver2½-GP@SortedSet min,Ver2½-GP@SortedSet mean,Ver2½-GP@SortedSet max,Ver2½-GPX@SortedSet min,Ver2½-GPX@SortedSet mean,Ver2½-GPX@SortedSet max,Ver3½-GP@SortedSet min,Ver3½-GP@SortedSet mean,Ver3½-GP@SortedSet max,Ver3½-GPX@SortedSet min,Ver3½-GPX@SortedSet mean,Ver3½-GPX@SortedSet max,Ver3½=GP1@SortedSet min,Ver3½=GP1@SortedSet mean,Ver3½=GP1@SortedSet max,Ver3½=GP4@SortedSet min,Ver3½=GP4@SortedSet mean,Ver3½=GP4@SortedSet max,Ver3½=GP5@SortedSet min,Ver3½=GP5@SortedSet mean,Ver3½=GP5@SortedSet max,Ver3½=GP6@SortedSet min,Ver3½=GP6@SortedSet mean,Ver3½=GP6@SortedSet max,Ver3½=GP8@SortedSet min,Ver3½=GP8@SortedSet mean,Ver3½=GP8@SortedSet max,Ver3½=GP16@SortedSet min,Ver3½=GP16@SortedSet mean,Ver3½=GP16@SortedSet max,Ver3½=GP64@SortedSet min,Ver3½=GP64@SortedSet mean,Ver3½=GP64@SortedSet max,Ver3½=GP256@SortedSet min,Ver3½=GP256@SortedSet mean,Ver3½=GP256@SortedSet max
2000,0.009,0.0098,0.011,0.005,0.005200000000000001,0.006,0.005,0.005200000000000001,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.001,0.0012000000000000001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022,0.022799999999999997,0.023,0.02,0.0206,0.021,0.02,0.0204,0.021,0.023,0.023,0.023,0.02,0.020200000000000003,0.021,0.025,0.0252,0.026,0.021,0.0212,0.022,0.006,0.0064,0.007,0.005,0.0054,0.006,0.005,0.005,0.005,0.004,0.0048000000000000004,0.005,0.005,0.005600000000000001,0.006,0.005,0.005200000000000001,0.006,0.004,0.0048000000000000004,0.005
2050,0.01,0.010400000000000001,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.006,0.006,0.006,0.007,0.007,0.007,0.006,0.006,0.006,0.001,0.0016,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0012000000000000001,0.002,0.026,0.0264,0.028,0.023,0.023799999999999998,0.024,0.022,0.023,0.024,0.025,0.0256,0.026,0.022,0.0226,0.023,0.028,0.028,0.028,0.023,0.0232,0.024,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005200000000000001,0.006,0.005,0.005,0.005,0.005,0.0054,0.006,0.005,0.0054,0.006,0.005,0.0056,0.006
2100,0.012,0.012199999999999999,0.013,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007200000000000001,0.008,0.006,0.0064,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.002,0.002,0.002,0.001,0.0014,0.002,0.001,0.0014,0.002,0.001,0.0014,0.002,0.001,0.0016,0.002,0.001,0.0014,0.002,0.001,0.0014,0.002,0.03,0.030199999999999998,0.031,0.027,0.027,0.027,0.026,0.026,0.026,0.029,0.029200000000000004,0.03,0.026,0.026,0.026,0.032,0.0324,0.033,0.027,0.027,0.027,0.008,0.008400000000000001,0.009,0.006,0.0068000000000000005,0.007,0.006,0.006,0.006,0.005,0.005800000000000001,0.006,0.005,0.0058,0.006,0.006,0.006,0.006,0.006,0.006,0.006
2150,0.014,0.014599999999999998,0.017,0.008,0.008,0.008,0.007,0.0073999999999999995,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.009,0.009,0.009,0.007,0.0078,0.008,0.002,0.002,0.002,0.001,0.0018000000000000002,0.002,0.001,0.0016,0.002,0.001,0.0016,0.002,0.001,0.0014,0.002,0.001,0.0014,0.002,0.001,0.0016,0.002,0.036,0.0368,0.037,0.03,0.0308,0.031,0.029,0.03,0.031,0.033,0.0334,0.034,0.029,0.029199999999999997,0.03,0.036,0.036,0.036,0.03,0.0306,0.032,0.009,0.009600000000000001,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.0073999999999999995,0.009,0.007,0.0073999999999999995,0.008,0.007,0.0072,0.008,0.007,0.0073999999999999995,0.008
2200,0.017,0.0172,0.018,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008400000000000001,0.009,0.01,0.01,0.01,0.009,0.009,0.009,0.002,0.0022,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0018000000000000002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.044,0.044199999999999996,0.045,0.035,0.035,0.035,0.034,0.0344,0.035,0.037,0.0378,0.039,0.033,0.033800000000000004,0.034,0.041,0.041,0.041,0.035,0.0352,0.036,0.011,0.011399999999999999,0.012,0.009,0.0092,0.01,0.008,0.0086,0.009,0.008,0.0082,0.009,0.008,0.008400000000000001,0.009,0.008,0.008400000000000001,0.009,0.008,0.008400000000000001,0.009
2250,0.021,0.021400000000000002,0.023,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010400000000000001,0.011,0.01,0.01,0.01,0.011,0.011399999999999999,0.012,0.01,0.01,0.01,0.003,0.003,0.003,0.002,0.0022,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0021999999999999997,0.003,0.054,0.0546,0.056,0.039,0.0396,0.04,0.038,0.039,0.04,0.042,0.04259999999999999,0.043,0.039,0.039400000000000004,0.04,0.047,0.047,0.047,0.04,0.040400000000000005,0.041,0.013,0.0134,0.014,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.0098,0.01,0.01,0.010199999999999999,0.011,0.009,0.0098,0.01
2300,0.024,0.0246,0.027,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.011,0.011,0.011,0.013,0.013,0.013,0.012,0.012,0.012,0.003,0.0032,0.004,0.003,0.003,0.003,0.002,0.0024000000000000002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.063,0.06420000000000001,0.065,0.045,0.045799999999999993,0.047,0.044,0.04479999999999999,0.046,0.047,0.0484,0.049,0.045,0.0452,0.046,0.053,0.054000000000000006,0.055,0.046,0.046599999999999996,0.047,0.015,0.0156,0.016,0.012,0.0128,0.013,0.011,0.0116,0.013,0.011,0.0118,0.014,0.011,0.011399999999999999,0.012,0.011,0.0116,0.012,0.011,0.011,0.011
2350,0.029,0.03,0.032,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.013,0.013,0.013,0.015,0.015,0.015,0.013,0.013600000000000001,0.014,0.004,0.004,0.004,0.003,0.004,0.005,0.003,0.0032,0.004,0.003,0.003,0.003,0.003,0.0032,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.076,0.07680000000000001,0.078,0.052,0.0534,0.055,0.051,0.0526,0.054,0.056,0.056400000000000006,0.057,0.051,0.0518,0.052,0.061,0.0618,0.062,0.052,0.0534,0.054,0.017,0.0178,0.018,0.014,0.015,0.016,0.013,0.013599999999999998,0.015,0.013,0.0134,0.014,0.013,0.0134,0.014,0.013,0.013,0.013,0.013,0.0134,0.014
2400,0.035,0.0364,0.038,0.015,0.015,0.015,0.015,0.0152,0.016,0.015,0.0158,0.016,0.015,0.015,0.015,0.017,0.017,0.017,0.015,0.0158,0.016,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.0036,0.004,0.003,0.0038,0.004,0.004,0.004,0.004,0.003,0.0038,0.004,0.089,0.09059999999999999,0.092,0.06,0.060399999999999995,0.061,0.06,0.06,0.06,0.063,0.0636,0.065,0.059,0.0596,0.06,0.069,0.0694,0.07,0.061,0.0618,0.062,0.018,0.019,0.02,0.016,0.0162,0.017,0.014,0.014599999999999998,0.015,0.014,0.0144,0.015,0.014,0.0144,0.015,0.014,0.0152,0.018,0.014,0.014599999999999998,0.016
2450,0.042,0.0434,0.046,0.018,0.018,0.018,0.017,0.0176,0.018,0.018,0.018,0.018,0.017,0.017400000000000002,0.018,0.019,0.019,0.019,0.018,0.0186,0.02,0.005,0.005600000000000001,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004200000000000001,0.005,0.004,0.0044,0.005,0.004,0.004200000000000001,0.005,0.004,0.0044,0.005,0.106,0.10999999999999999,0.125,0.07,0.0708,0.072,0.069,0.06960000000000001,0.07,0.073,0.07339999999999999,0.074,0.068,0.06820000000000001,0.069,0.079,0.0796,0.08,0.071,0.0712,0.072,0.022,0.022399999999999996,0.023,0.018,0.0184,0.019,0.016,0.0162,0.017,0.016,0.0164,0.018,0.016,0.0166,0.017,0.016,0.0162,0.017,0.016,0.0162,0.017
2500,0.05,0.0506,0.053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021399999999999995,0.022,0.02,0.020399999999999998,0.022,0.006,0.0064,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.0044,0.005,0.005,0.005200000000000001,0.006,0.005,0.005,0.005,0.126,0.1268,0.128,0.079,0.07980000000000001,0.08,0.079,0.0794,0.081,0.083,0.08380000000000001,0.086,0.078,0.0786,0.079,0.091,0.0914,0.092,0.081,0.08120000000000001,0.082,0.025,0.0258,0.027,0.021,0.021,0.021,0.018,0.0194,0.022,0.019,0.0194,0.021,0.019,0.019200000000000002,0.02,0.018,0.019,0.02,0.019,0.0196,0.021
2550,0.061,0.0634,0.071,0.023,0.023,0.023,0.023,0.0232,0.024,0.022,0.022799999999999997,0.023,0.022,0.022399999999999996,0.023,0.024,0.0246,0.025,0.023,0.023,0.023,0.007,0.0076,0.008,0.006,0.006,0.006,0.005,0.0054,0.006,0.005,0.0054,0.006,0.005,0.0054,0.006,0.006,0.006,0.006,0.005,0.0056,0.006,0.153,0.15940000000000001,0.174,0.092,0.09319999999999999,0.096,0.091,0.09219999999999999,0.094,0.094,0.09559999999999999,0.097,0.09,0.091,0.093,0.103,0.1042,0.107,0.093,0.09459999999999999,0.097,0.029,0.029599999999999998,0.03,0.024,0.0246,0.025,0.022,0.0226,0.025,0.021,0.022200000000000004,0.024,0.021,0.022000000000000002,0.023,0.021,0.022399999999999996,0.024,0.021,0.022600000000000002,0.024
