Size,Ver1½@HashSet min,Ver1½@HashSet mean,Ver1½@HashSet max,Ver2-GP@HashSet min,Ver2-GP@HashSet mean,Ver2-GP@HashSet max,Ver2½-GP@HashSet min,Ver2½-GP@HashSet mean,Ver2½-GP@HashSet max,Ver2½-GPX@HashSet min,Ver2½-GPX@HashSet mean,Ver2½-GPX@HashSet max,Ver3½-GP@HashSet min,Ver3½-GP@HashSet mean,Ver3½-GP@HashSet max,Ver3½-GPX@HashSet min,Ver3½-GPX@HashSet mean,Ver3½-GPX@HashSet max,Ver3½=GP1@HashSet min,Ver3½=GP1@HashSet mean,Ver3½=GP1@HashSet max,Ver3½=GP4@HashSet min,Ver3½=GP4@HashSet mean,Ver3½=GP4@HashSet max,Ver3½=GP5@HashSet min,Ver3½=GP5@HashSet mean,Ver3½=GP5@HashSet max,Ver3½=GP6@HashSet min,Ver3½=GP6@HashSet mean,Ver3½=GP6@HashSet max,Ver3½=GP8@HashSet min,Ver3½=GP8@HashSet mean,Ver3½=GP8@HashSet max,Ver3½=GP16@HashSet min,Ver3½=GP16@HashSet mean,Ver3½=GP16@HashSet max,Ver3½=GP64@HashSet min,Ver3½=GP64@HashSet mean,Ver3½=GP64@HashSet max,Ver3½=GP256@HashSet min,Ver3½=GP256@HashSet mean,Ver3½=GP256@HashSet max,Ver1½@SortedSet min,Ver1½@SortedSet mean,Ver1½@SortedSet max,Ver2-GP@SortedSet min,Ver2-GP@SortedSet mean,Ver2-GP@SortedSet max,Ver2½-GP@SortedSet min,Ver2½-GP@SortedSet mean,Ver2½-GP@SortedSet max,Ver2½-GPX@SortedSet min,Ver2½-GPX@SortedSet mean,Ver2½-GPX@SortedSet max,Ver3½-GP@SortedSet min,Ver3½-GP@SortedSet mean,Ver3½-GP@SortedSet max,Ver3½-GPX@SortedSet min,Ver3½-GPX@SortedSet mean,Ver3½-GPX@SortedSet max,Ver3½=GP1@SortedSet min,Ver3½=GP1@SortedSet mean,Ver3½=GP1@SortedSet max,Ver3½=GP4@SortedSet min,Ver3½=GP4@SortedSet mean,Ver3½=GP4@SortedSet max,Ver3½=GP5@SortedSet min,Ver3½=GP5@SortedSet mean,Ver3½=GP5@SortedSet max,Ver3½=GP6@SortedSet min,Ver3½=GP6@SortedSet mean,Ver3½=GP6@SortedSet max,Ver3½=GP8@SortedSet min,Ver3½=GP8@SortedSet mean,Ver3½=GP8@SortedSet max,Ver3½=GP16@SortedSet min,Ver3½=GP16@SortedSet mean,Ver3½=GP16@SortedSet max,Ver3½=GP64@SortedSet min,Ver3½=GP64@SortedSet mean,Ver3½=GP64@SortedSet max,Ver3½=GP256@SortedSet min,Ver3½=GP256@SortedSet mean,Ver3½=GP256@SortedSet max
10000,,,,0.002,0.0030000000000000005,0.004,0.002,0.002,0.002,0.001,0.0016666666666666668,0.002,0.001,0.0016666666666666668,0.002,0.001,0.0016666666666666668,0.002,0.003,0.003,0.003,0.003,0.0033333333333333335,0.004,0.003,0.0033333333333333335,0.004,0.002,0.006999999999999999,0.016,0.003,0.008,0.017,0.002,0.004,0.007,0.003,0.005333333333333333,0.009,0.004,0.004333333333333334,0.005,,,,0.012,0.012,0.012,0.002,0.0023333333333333335,0.003,0.002,0.0023333333333333335,0.003,0.003,0.003,0.003,0.002,0.0023333333333333335,0.003,0.003,0.0033333333333333335,0.004,0.003,0.0033333333333333335,0.004,0.003,0.004666666666666666,0.007,0.003,0.004333333333333334,0.006,0.004,0.004333333333333334,0.005,0.003,0.0033333333333333335,0.004,0.003,0.003,0.003,0.003,0.004,0.005
20000,,,,0.005,0.005333333333333333,0.006,0.003,0.003,0.003,0.003,0.0033333333333333335,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004666666666666667,0.005,0.003,0.003,0.003,0.003,0.0036666666666666666,0.004,0.003,0.004666666666666667,0.007,0.003,0.0033333333333333335,0.004,0.004,0.004,0.004,0.004,0.004333333333333334,0.005,0.004,0.004,0.004,,,,0.023,0.025333333333333333,0.027,0.007,0.007666666666666666,0.008,0.007,0.007,0.007,0.006,0.006666666666666667,0.007,0.007,0.007,0.007,0.01,0.011000000000000001,0.012,0.005,0.011000000000000001,0.022,0.005,0.006000000000000001,0.008,0.005,0.006333333333333334,0.008,0.005,0.005333333333333333,0.006,0.005,0.005333333333333333,0.006,0.005,0.005333333333333333,0.006,0.005,0.005666666666666667,0.007
30000,,,,0.008,0.008,0.008,0.005,0.005666666666666667,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.005,0.005333333333333333,0.006,0.004,0.005,0.006,0.004,0.004666666666666667,0.006,0.005,0.005333333333333333,0.006,0.004,0.004333333333333334,0.005,0.004,0.005333333333333333,0.007,0.004,0.004333333333333334,0.005,,,,0.036,0.03666666666666666,0.037,0.013,0.014333333333333332,0.015,0.012,0.012666666666666666,0.013,0.012,0.012666666666666666,0.013,0.012,0.014333333333333332,0.018,0.017,0.018333333333333337,0.02,0.008,0.009,0.011,0.007,0.007666666666666666,0.008,0.007,0.007333333333333333,0.008,0.007,0.007333333333333333,0.008,0.007,0.007333333333333333,0.008,0.007,0.007666666666666666,0.008,0.007,0.007666666666666666,0.008
40000,,,,0.011,0.011,0.011,0.008,0.008666666666666668,0.009,0.008,0.008333333333333333,0.009,0.008,0.008666666666666668,0.009,0.009,0.009333333333333332,0.01,0.01,0.010333333333333333,0.011,0.006,0.008333333333333333,0.013,0.006,0.007666666666666666,0.011,0.006,0.007666666666666666,0.009,0.005,0.006000000000000001,0.007,0.006,0.006,0.006,0.005,0.005666666666666667,0.006,0.006,0.006,0.006,,,,0.052,0.059666666666666666,0.074,0.021,0.022999999999999996,0.026,0.019,0.02033333333333333,0.022,0.019,0.01933333333333333,0.02,0.02,0.020666666666666667,0.021,0.028,0.029666666666666664,0.032,0.01,0.017333333333333333,0.028,0.009,0.010666666666666666,0.013,0.009,0.009333333333333332,0.01,0.009,0.009333333333333332,0.01,0.009,0.009333333333333332,0.01,0.009,0.009,0.009,0.009,0.009,0.009
50000,,,,0.014,0.014,0.014,0.011,0.011,0.011,0.011,0.011333333333333334,0.012,0.012,0.012,0.012,0.011,0.012000000000000002,0.013,0.013,0.013999999999999999,0.015,0.007,0.007666666666666666,0.008,0.007,0.013666666666666667,0.027,0.007,0.009333333333333332,0.013,0.007,0.007666666666666666,0.009,0.007,0.007,0.007,0.006,0.006666666666666667,0.007,0.007,0.007,0.007,,,,0.069,0.07100000000000001,0.073,0.031,0.03233333333333333,0.034,0.03,0.030666666666666665,0.032,0.029,0.029666666666666664,0.03,0.029,0.029333333333333333,0.03,0.039,0.04800000000000001,0.064,0.013,0.014333333333333332,0.016,0.011,0.012000000000000002,0.013,0.011,0.012000000000000002,0.013,0.011,0.011666666666666667,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
60000,,,,0.018,0.018,0.018,0.014,0.014666666666666666,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015666666666666666,0.017,0.018,0.018,0.018,0.008,0.021333333333333333,0.033,0.008,0.011000000000000001,0.013,0.009,0.009,0.009,0.008,0.008333333333333333,0.009,0.008,0.008666666666666668,0.009,0.008,0.008333333333333333,0.009,0.008,0.008,0.008,,,,0.09,0.09033333333333333,0.091,0.044,0.044,0.044,0.043,0.04466666666666667,0.046,0.041,0.04133333333333333,0.042,0.042,0.042,0.042,0.057,0.061,0.069,0.016,0.026000000000000006,0.041,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.016,0.02,0.014,0.016333333333333335,0.02,0.014,0.014333333333333332,0.015,0.014,0.014333333333333332,0.015
70000,,,,0.022,0.022,0.022,0.018,0.01833333333333333,0.019,0.019,0.019,0.019,0.019,0.01933333333333333,0.02,0.019,0.019666666666666666,0.02,0.024,0.026333333333333334,0.031,0.009,0.009666666666666665,0.01,0.01,0.01,0.01,0.01,0.017,0.031,0.009,0.021999999999999995,0.043,0.01,0.011333333333333334,0.013,0.009,0.009666666666666665,0.01,0.009,0.015,0.026,,,,0.113,0.11933333333333333,0.129,0.06,0.06266666666666666,0.067,0.062,0.06233333333333333,0.063,0.057,0.05766666666666667,0.058,0.059,0.059,0.059,0.076,0.078,0.081,0.022,0.042666666666666665,0.059,0.019,0.02666666666666667,0.041,0.017,0.03466666666666667,0.049,0.022,0.034,0.055,0.02,0.029333333333333333,0.04,0.019,0.019666666666666666,0.021,0.018,0.01833333333333333,0.019
80000,,,,0.027,0.02766666666666667,0.029,0.023,0.02366666666666667,0.024,0.023,0.023333333333333334,0.024,0.023,0.023333333333333334,0.024,0.024,0.024,0.024,0.028,0.032999999999999995,0.043,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01833333333333333,0.031,0.017,0.024333333333333332,0.029,0.012,0.017,0.023,0.011,0.012333333333333333,0.014,0.01,0.010666666666666666,0.011,,,,0.144,0.15633333333333332,0.175,0.081,0.09100000000000001,0.11,0.082,0.08866666666666667,0.1,0.081,0.08600000000000001,0.095,0.084,0.09066666666666667,0.098,0.118,0.121,0.125,0.031,0.03466666666666667,0.04,0.025,0.033,0.043,0.023,0.027,0.031,0.024,0.025333333333333333,0.026,0.024,0.027999999999999997,0.034,0.022,0.027999999999999997,0.036,0.026,0.027333333333333334,0.028
90000,,,,0.031,0.03466666666666667,0.04,0.027,0.02766666666666667,0.028,0.028,0.02866666666666667,0.029,0.028,0.028,0.028,0.03,0.03,0.03,0.032,0.03266666666666667,0.034,0.012,0.013,0.014,0.012,0.012333333333333335,0.013,0.012,0.012,0.012,0.012,0.02033333333333333,0.026,0.012,0.013,0.015,0.011,0.011666666666666667,0.012,0.012,0.017333333333333336,0.028,,,,0.174,0.18566666666666665,0.206,0.105,0.10566666666666667,0.107,0.11,0.11533333333333333,0.118,0.103,0.10333333333333333,0.104,0.108,0.11066666666666668,0.116,0.129,0.14133333333333334,0.151,0.04,0.047999999999999994,0.059,0.042,0.04466666666666667,0.048,0.035,0.03866666666666666,0.044,0.03,0.051666666666666666,0.076,0.029,0.043333333333333335,0.067,0.036,0.04133333333333333,0.052,0.035,0.06166666666666667,0.084
100000,,,,0.036,0.045000000000000005,0.062,0.033,0.03333333333333333,0.034,0.034,0.035,0.036,0.032,0.03266666666666667,0.033,0.035,0.037000000000000005,0.041,0.038,0.03866666666666666,0.039,0.013,0.017333333333333336,0.025,0.013,0.014666666666666666,0.018,0.013,0.016999999999999998,0.024,0.013,0.022000000000000002,0.033,0.013,0.014333333333333332,0.016,0.013,0.013,0.013,0.012,0.012666666666666666,0.013,,,,0.211,0.21466666666666667,0.217,0.129,0.133,0.138,0.136,0.14466666666666667,0.157,0.127,0.12966666666666668,0.132,0.14,0.1436666666666667,0.151,0.159,0.162,0.165,0.052,0.05466666666666667,0.056,0.048,0.04833333333333334,0.049,0.046,0.052,0.057,0.035,0.043000000000000003,0.048,0.044,0.044,0.044,0.039,0.08166666666666667,0.118,0.045,0.054,0.069
