Size,Ver1½@HashSet min,Ver1½@HashSet mean,Ver1½@HashSet max,Ver2-GP@HashSet min,Ver2-GP@HashSet mean,Ver2-GP@HashSet max,Ver2½-GP@HashSet min,Ver2½-GP@HashSet mean,Ver2½-GP@HashSet max,Ver2½-GPX@HashSet min,Ver2½-GPX@HashSet mean,Ver2½-GPX@HashSet max,Ver3½-GP@HashSet min,Ver3½-GP@HashSet mean,Ver3½-GP@HashSet max,Ver3½-GPX@HashSet min,Ver3½-GPX@HashSet mean,Ver3½-GPX@HashSet max,Ver3½=GP1@HashSet min,Ver3½=GP1@HashSet mean,Ver3½=GP1@HashSet max,Ver3½=GP4@HashSet min,Ver3½=GP4@HashSet mean,Ver3½=GP4@HashSet max,Ver3½=GP5@HashSet min,Ver3½=GP5@HashSet mean,Ver3½=GP5@HashSet max,Ver3½=GP6@HashSet min,Ver3½=GP6@HashSet mean,Ver3½=GP6@HashSet max,Ver3½=GP8@HashSet min,Ver3½=GP8@HashSet mean,Ver3½=GP8@HashSet max,Ver3½=GP16@HashSet min,Ver3½=GP16@HashSet mean,Ver3½=GP16@HashSet max,Ver3½=GP64@HashSet min,Ver3½=GP64@HashSet mean,Ver3½=GP64@HashSet max,Ver3½=GP256@HashSet min,Ver3½=GP256@HashSet mean,Ver3½=GP256@HashSet max
250000,,,,0.269,0.29266666666666663,0.308,0.099,0.09966666666666668,0.101,0.099,0.10000000000000002,0.102,0.107,0.108,0.109,0.108,0.124,0.154,0.149,0.15,0.151,0.134,0.14233333333333334,0.147,0.141,0.143,0.144,0.136,0.14,0.144,0.136,0.18433333333333332,0.227,0.137,0.139,0.142,0.129,0.12966666666666668,0.13,0.131,0.13233333333333333,0.135
500000,,,,0.474,0.49966666666666665,0.547,0.195,0.19633333333333333,0.197,0.195,0.19633333333333333,0.197,0.215,0.21533333333333335,0.216,0.213,0.21366666666666667,0.215,0.316,0.332,0.36,0.276,0.283,0.295,0.26,0.3126666666666667,0.398,0.254,0.26466666666666666,0.28,0.254,0.26766666666666666,0.277,0.26,0.3066666666666667,0.384,0.249,0.25433333333333336,0.259,0.257,0.26066666666666666,0.264
750000,,,,0.73,0.7426666666666666,0.75,0.289,0.29866666666666664,0.317,0.287,0.294,0.304,0.315,0.3173333333333333,0.321,0.315,0.317,0.32,0.455,0.463,0.469,0.386,0.3996666666666666,0.425,0.378,0.3946666666666667,0.413,0.372,0.38433333333333336,0.406,0.376,0.38766666666666666,0.396,0.476,0.5043333333333333,0.556,0.357,0.36233333333333334,0.365,0.365,0.36999999999999994,0.38
1000000,,,,0.81,0.811,0.812,0.384,0.41500000000000004,0.471,0.386,0.38766666666666666,0.389,0.421,0.482,0.523,0.42,0.422,0.423,0.578,0.5829999999999999,0.589,0.513,0.5193333333333333,0.528,0.5,0.51,0.528,0.486,0.4963333333333333,0.502,0.474,0.5103333333333333,0.573,0.484,0.544,0.605,0.445,0.45533333333333337,0.466,0.467,0.4736666666666667,0.478
1250000,,,,1.059,1.0719999999999998,1.084,0.5,0.503,0.508,0.497,0.49933333333333335,0.503,0.534,0.5373333333333333,0.542,0.533,0.536,0.538,0.661,0.6636666666666667,0.668,0.62,0.6316666666666667,0.638,0.59,0.6133333333333333,0.629,0.56,0.626,0.73,0.556,0.6203333333333334,0.744,0.528,0.5953333333333334,0.701,0.548,0.5516666666666666,0.554,0.557,0.565,0.57
1500000,,,,1.203,1.218,1.241,0.608,0.61,0.611,0.605,0.6056666666666667,0.607,0.66,0.6623333333333333,0.664,0.661,0.664,0.666,0.732,0.7376666666666667,0.745,0.658,0.665,0.677,0.765,0.7853333333333334,0.81,0.639,0.6553333333333334,0.682,0.649,0.6583333333333333,0.675,0.622,0.629,0.639,0.599,0.63,0.649,0.605,0.6256666666666667,0.643
1750000,,,,1.324,1.3716666666666668,1.411,0.724,0.731,0.744,0.723,0.734,0.75,0.785,0.79,0.798,0.787,0.7893333333333334,0.792,1.385,1.4163333333333332,1.433,0.701,0.7253333333333334,0.757,0.689,0.6986666666666667,0.709,0.715,0.749,0.799,0.69,0.7623333333333333,0.885,0.667,0.6753333333333335,0.685,0.697,0.7466666666666666,0.842,0.685,0.7130000000000001,0.758
2000000,,,,1.476,1.4786666666666666,1.482,0.848,0.871,0.889,0.841,0.8433333333333333,0.846,0.913,0.9540000000000001,1.028,0.913,0.9823333333333334,1.019,1.764,1.8313333333333333,1.878,0.771,0.782,0.789,0.774,0.7833333333333333,0.8,0.762,0.7733333333333334,0.793,0.757,0.7706666666666667,0.786,0.755,0.8013333333333333,0.865,0.769,0.8673333333333333,0.943,0.765,0.7683333333333334,0.774
3000000,,,,2.281,2.287666666666667,2.295,1.326,1.3293333333333335,1.332,1.326,1.3496666666666666,1.392,1.475,1.4796666666666667,1.483,1.471,1.4736666666666667,1.476,2.439,2.4776666666666665,2.508,0.992,0.9993333333333334,1.008,0.999,1.0016666666666667,1.005,1.006,1.0203333333333333,1.039,0.982,0.9979999999999999,1.012,0.977,1.0143333333333333,1.037,0.996,1.047,1.142,1.002,1.1033333333333333,1.169
4000000,,,,,,,1.865,1.87,1.88,1.862,1.8663333333333334,1.871,2.064,2.0853333333333333,2.125,2.059,2.0883333333333334,2.145,3.009,3.0323333333333333,3.044,1.193,1.2143333333333333,1.228,1.195,1.2143333333333335,1.233,1.17,1.2166666666666666,1.242,1.223,1.226,1.231,1.21,1.2173333333333334,1.229,1.195,1.2086666666666668,1.22,1.344,1.383,1.423
