Size,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
2000,0.017,0.0182,0.019,0.012,0.012199999999999999,0.013,0.012,0.0124,0.013,0.015,0.015,0.015
2050,0.02,0.0204,0.021,0.014,0.014,0.014,0.014,0.014,0.014,0.017,0.017,0.017
2100,0.023,0.024,0.027,0.016,0.0162,0.017,0.016,0.0164,0.018,0.019,0.019200000000000002,0.02
2150,0.028,0.0288,0.03,0.018,0.0188,0.02,0.018,0.0184,0.019,0.021,0.021200000000000004,0.022
2200,0.033,0.0334,0.034,0.02,0.0204,0.022,0.021,0.021400000000000002,0.023,0.024,0.0242,0.025
2250,0.04,0.0408,0.041,0.023,0.0232,0.024,0.024,0.024,0.024,0.027,0.028199999999999996,0.03
2300,0.047,0.0486,0.051,0.026,0.0268,0.027,0.027,0.027600000000000003,0.028,0.031,0.031,0.031
2350,0.057,0.057600000000000005,0.058,0.031,0.031,0.031,0.031,0.0316,0.032,0.035,0.0358,0.036
2400,0.07,0.07060000000000001,0.071,0.036,0.0368,0.038,0.037,0.0374,0.038,0.041,0.041400000000000006,0.042
2450,0.083,0.08380000000000001,0.084,0.042,0.042,0.042,0.043,0.043399999999999994,0.044,0.048,0.0484,0.049
2500,0.099,0.0992,0.1,0.048,0.048,0.048,0.049,0.0496,0.051,0.053,0.0534,0.054
2550,0.122,0.1234,0.125,0.055,0.0558,0.056,0.057,0.05720000000000001,0.058,0.061,0.0624,0.064
2600,0.146,0.1484,0.152,0.064,0.0656,0.071,0.065,0.06620000000000001,0.071,0.07,0.0722,0.076
2650,0.181,0.18319999999999997,0.188,0.074,0.0756,0.078,0.076,0.0764,0.077,0.081,0.08180000000000001,0.083
2700,0.215,0.21600000000000003,0.218,0.087,0.08759999999999998,0.088,0.088,0.088,0.088,0.094,0.0944,0.095
2750,0.274,0.2786,0.288,0.105,0.1066,0.107,0.106,0.10740000000000001,0.109,0.111,0.11300000000000002,0.117
2800,0.341,0.34199999999999997,0.343,0.121,0.1212,0.122,0.123,0.123,0.123,0.127,0.1282,0.129
2850,0.458,0.4598,0.464,0.145,0.146,0.147,0.149,0.1494,0.15,0.151,0.1516,0.153
2900,0.603,0.6063999999999999,0.611,0.17,0.1718,0.174,0.176,0.17679999999999998,0.178,0.176,0.17959999999999998,0.189
2950,0.775,0.7766,0.778,0.206,0.2068,0.208,0.212,0.213,0.215,0.209,0.2098,0.212
3000,0.98,0.9852000000000001,0.994,0.244,0.24500000000000002,0.247,0.253,0.2556,0.259,0.246,0.2468,0.248
