Size,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
2000,,,,0.024,0.03766666666666666,0.065,0.021,0.021,0.021,,,
4000,,,,0.022,0.03766666666666666,0.066,0.024,0.024,0.024,,,
6000,,,,0.025,0.041666666666666664,0.072,0.026,0.026333333333333334,0.027,,,
8000,,,,0.036,0.052333333333333336,0.082,0.028,0.02866666666666667,0.029,,,
10000,,,,0.041,0.062,0.104,0.03,0.030333333333333334,0.031,,,
12000,,,,0.042,0.043333333333333335,0.045,0.034,0.04666666666666667,0.072,,,
14000,,,,0.046,0.046,0.046,0.036,0.037,0.038,,,
16000,,,,0.042,0.044333333333333336,0.046,0.037,0.038,0.039,,,
18000,,,,0.042,0.043000000000000003,0.044,0.039,0.041,0.043,,,
20000,,,,0.046,0.04666666666666667,0.048,0.041,0.042333333333333334,0.043,,,
30000,,,,0.072,0.09166666666666667,0.13,0.049,0.04966666666666667,0.05,,,
40000,,,,0.088,0.10433333333333333,0.136,0.062,0.064,0.066,,,
50000,,,,0.092,0.09300000000000001,0.094,0.073,0.09100000000000001,0.125,,,
100000,,,,0.169,0.19000000000000003,0.232,0.124,0.129,0.134,,,
150000,,,,0.233,0.26166666666666666,0.316,0.178,0.18200000000000002,0.185,,,
200000,,,,0.304,0.30866666666666664,0.311,0.23,0.237,0.244,,,
250000,,,,0.373,0.4093333333333333,0.481,0.29,0.2953333333333333,0.302,,,
500000,,,,0.694,0.7593333333333333,0.882,0.528,0.5316666666666667,0.536,,,
750000,,,,0.977,0.9780000000000001,0.98,0.759,0.843,1.002,,,
1000000,,,,1.256,1.2596666666666667,1.267,0.983,1.078,1.263,,,
1250000,,,,1.555,1.6396666666666666,1.806,1.246,1.3623333333333332,1.592,,,
1500000,,,,1.817,1.9216666666666669,2.114,1.536,1.5406666666666666,1.548,,,
1750000,,,,2.108,2.1113333333333335,2.114,1.849,1.9880000000000002,2.256,,,
2000000,,,,2.393,2.3986666666666667,2.406,2.115,2.269,2.558,,,
3000000,,,,3.56,3.5796666666666668,3.595,3.246,3.4299999999999997,3.788,,,
4000000,,,,4.892,4.899,4.903,4.433,4.700333333333333,5.181,,,
