Size,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP2 min,Ver3½=GP2 mean,Ver3½=GP2 max,Ver3½=GP3 min,Ver3½=GP3 mean,Ver3½=GP3 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max
2000,0.023175,0.024543,0.025266,0.014941,0.015421,0.016328,0.014096,0.015442,0.018114,0.013506,0.014849,0.015601,0.014788,0.015105,0.015471,0.008475,0.008668,0.009153,0.005877,0.006401,0.006999,0.005537,0.006241,0.006540,0.005207,0.006452,0.007559,0.005000,0.006255,0.007038,0.006000,0.006395,0.006931,0.005006,0.005673,0.006177,0.005371,0.005473,0.005674,0.004897,0.006386,0.007681
2050,0.027038,0.028163,0.028723,0.016472,0.016934,0.017590,0.016734,0.017926,0.019872,0.017060,0.017257,0.017716,0.016544,0.017248,0.018791,0.009239,0.009612,0.010189,0.006995,0.007252,0.007478,0.006589,0.007446,0.008419,0.006003,0.006600,0.007415,0.006700,0.007426,0.008662,0.005998,0.006880,0.008265,0.006076,0.007265,0.008002,0.006508,0.007142,0.008296,0.006920,0.007245,0.007514
2100,0.033030,0.033503,0.034287,0.019149,0.019829,0.020320,0.019117,0.019740,0.020381,0.018311,0.019067,0.019714,0.019220,0.020217,0.021092,0.010722,0.011070,0.011402,0.007771,0.009232,0.010401,0.008448,0.009232,0.009963,0.007321,0.008229,0.008873,0.007169,0.009434,0.013646,0.007309,0.008140,0.009412,0.008414,0.009085,0.009974,0.006718,0.008099,0.009430,0.007448,0.008230,0.009680
2150,0.036791,0.038108,0.039658,0.021475,0.022117,0.023127,0.021695,0.022535,0.023616,0.021685,0.021960,0.022100,0.022112,0.023079,0.024529,0.011508,0.012885,0.013987,0.009442,0.010110,0.011333,0.008788,0.009841,0.010523,0.008507,0.009533,0.010075,0.008634,0.008984,0.009509,0.008005,0.008557,0.009012,0.008365,0.009642,0.010228,0.008081,0.008966,0.010159,0.007833,0.008782,0.009285
2200,0.045076,0.046184,0.047003,0.025474,0.026194,0.026460,0.025234,0.025870,0.026675,0.025118,0.025778,0.026414,0.026655,0.026824,0.027130,0.014373,0.014663,0.015015,0.011743,0.012747,0.013774,0.011508,0.013028,0.015515,0.009512,0.010912,0.012661,0.009228,0.011145,0.012777,0.008971,0.010836,0.012356,0.010510,0.011241,0.011829,0.009509,0.010590,0.011903,0.009672,0.010743,0.011686
2250,0.055396,0.057679,0.061824,0.028288,0.029735,0.030599,0.028594,0.029775,0.032047,0.028693,0.029443,0.030132,0.029565,0.030104,0.030517,0.015957,0.017309,0.018468,0.013615,0.013855,0.014057,0.012377,0.013188,0.014169,0.012403,0.012882,0.013287,0.011444,0.012508,0.013241,0.012102,0.012693,0.014134,0.010863,0.012236,0.013108,0.011511,0.013305,0.015478,0.011431,0.013800,0.017973
2300,0.065997,0.066348,0.067071,0.032689,0.033693,0.034559,0.032919,0.033788,0.034499,0.033746,0.034319,0.034897,0.033688,0.034245,0.034860,0.020962,0.021274,0.021635,0.015403,0.017329,0.018635,0.014795,0.015814,0.016287,0.013905,0.015296,0.016330,0.012896,0.013857,0.014453,0.014124,0.016057,0.020808,0.011597,0.013820,0.016097,0.014464,0.015390,0.016189,0.012562,0.013715,0.015428
2350,0.077861,0.078378,0.078614,0.039632,0.040552,0.041172,0.039336,0.039601,0.039935,0.039476,0.040500,0.042428,0.039921,0.040227,0.040588,0.023775,0.024398,0.025808,0.018564,0.019807,0.020769,0.017028,0.018097,0.018749,0.014195,0.016496,0.020652,0.016619,0.017449,0.018100,0.015390,0.016671,0.018104,0.015873,0.018250,0.022348,0.014726,0.015138,0.015985,0.013512,0.014962,0.016111
2400,0.096395,0.097985,0.100377,0.045086,0.046418,0.049009,0.046869,0.047267,0.047792,0.045189,0.045646,0.046445,0.046316,0.047196,0.048013,0.026670,0.027260,0.027993,0.022075,0.022365,0.022587,0.019478,0.020000,0.020810,0.017335,0.017770,0.018508,0.018134,0.018953,0.019495,0.017045,0.018119,0.018945,0.016301,0.017909,0.020021,0.015951,0.017517,0.018399,0.014604,0.015679,0.016205
2450,0.117091,0.117777,0.118490,0.052324,0.053947,0.054530,0.052583,0.053066,0.053503,0.052702,0.053348,0.053824,0.052156,0.053426,0.054187,0.030777,0.031970,0.033214,0.024517,0.025484,0.026323,0.021458,0.022681,0.023881,0.018550,0.020877,0.023143,0.019500,0.020951,0.024033,0.019112,0.019782,0.020354,0.019144,0.019659,0.020281,0.016254,0.017725,0.019146,0.017834,0.018254,0.018852
2500,0.138980,0.140372,0.143195,0.061115,0.062398,0.064161,0.061729,0.062338,0.062677,0.060404,0.060986,0.061994,0.061455,0.062188,0.062861,0.034064,0.035454,0.036437,0.027185,0.028377,0.031530,0.022597,0.024682,0.027139,0.021029,0.022296,0.023974,0.019672,0.020695,0.022590,0.020279,0.021174,0.022851,0.019970,0.021054,0.022785,0.018727,0.019435,0.020298,0.017423,0.018919,0.020426
2550,0.169291,0.170061,0.171646,0.068951,0.070302,0.072482,0.069584,0.072032,0.077246,0.068215,0.068775,0.069604,0.067901,0.069907,0.070889,0.038614,0.040094,0.042311,0.028887,0.032164,0.036381,0.027013,0.028351,0.031342,0.025163,0.026286,0.028639,0.022516,0.023183,0.024576,0.022183,0.025168,0.031440,0.021761,0.022453,0.023062,0.020770,0.021392,0.022287,0.019353,0.020602,0.021965
2600,0.200809,0.202349,0.205073,0.079444,0.080942,0.082682,0.080383,0.080654,0.081094,0.076840,0.078732,0.080534,0.077803,0.078523,0.079745,0.043540,0.044778,0.046974,0.032872,0.034367,0.036840,0.027166,0.029861,0.034410,0.026942,0.028572,0.029451,0.023384,0.026945,0.031885,0.024092,0.025428,0.028178,0.021739,0.022724,0.023830,0.021069,0.022262,0.024067,0.023200,0.024080,0.024997
2650,0.242720,0.245255,0.248645,0.091913,0.092991,0.093834,0.090504,0.092509,0.094201,0.089328,0.091235,0.093078,0.089880,0.090642,0.091256,0.049921,0.051253,0.052240,0.037654,0.038172,0.038962,0.031055,0.031929,0.032844,0.028835,0.030377,0.031922,0.026802,0.030062,0.037240,0.025489,0.026796,0.027757,0.024879,0.026063,0.027353,0.025179,0.026096,0.026838,0.026491,0.028957,0.034879
2700,0.283079,0.284474,0.286753,0.104592,0.106018,0.107902,0.105231,0.106688,0.107441,0.102124,0.103300,0.104755,0.100478,0.101679,0.102821,0.056650,0.057973,0.059025,0.040735,0.041729,0.043242,0.035248,0.035911,0.036690,0.032911,0.036972,0.044896,0.030296,0.032946,0.039137,0.029591,0.032288,0.038075,0.025645,0.029406,0.037642,0.028418,0.029723,0.030201,0.027757,0.029609,0.030667
2750,0.356115,0.361083,0.365395,0.125538,0.127019,0.129283,0.123231,0.124925,0.126434,0.120414,0.122571,0.124045,0.119221,0.121560,0.123819,0.067517,0.068203,0.069538,0.048677,0.050414,0.053658,0.040594,0.041949,0.043705,0.034809,0.037299,0.040059,0.030634,0.034383,0.039333,0.030421,0.031359,0.032790,0.030887,0.035231,0.037927,0.034157,0.037362,0.044583,0.032543,0.033989,0.035363
