Size,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP2 min,Ver3½=GP2 mean,Ver3½=GP2 max,Ver3½=GP3 min,Ver3½=GP3 mean,Ver3½=GP3 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max
10000,0.007029,0.007041,0.007052,0.003380,0.003426,0.003472,0.002038,0.002534,0.003030,0.004967,0.005222,0.005477,0.005002,0.005291,0.005579,0.006997,0.007026,0.007054,0.006226,0.006353,0.006480,0.006538,0.006807,0.007075,0.007021,0.007043,0.007065,0.006514,0.006743,0.006973,0.006536,0.007052,0.007568,0.006026,0.006267,0.006507,0.007510,0.007511,0.007512
20000,0.011571,0.011572,0.011573,0.005575,0.006157,0.006740,0.005041,0.005522,0.006003,0.006309,0.006562,0.006815,0.007606,0.007914,0.008222,0.007999,0.008754,0.009509,0.007392,0.007450,0.007508,0.009275,0.009451,0.009628,0.008227,0.008628,0.009029,0.008485,0.009407,0.010330,0.008613,0.009431,0.010250,0.010050,0.010781,0.011513,0.009509,0.009524,0.009538
30000,0.016019,0.016518,0.017017,0.009212,0.009376,0.009539,0.008502,0.008514,0.008527,0.008005,0.008605,0.009206,0.007249,0.008057,0.008864,0.008542,0.009285,0.010027,0.009624,0.009700,0.009776,0.009715,0.009898,0.010081,0.009449,0.009982,0.010515,0.010508,0.011009,0.011510,0.010333,0.010490,0.010647,0.011508,0.011789,0.012069,0.011508,0.011767,0.012025
40000,0.022566,0.023415,0.024264,0.014452,0.015032,0.015611,0.013728,0.014301,0.014873,0.011025,0.011265,0.011505,0.010281,0.010490,0.010699,0.010266,0.010782,0.011299,0.010822,0.011429,0.012037,0.010628,0.011069,0.011510,0.012508,0.012774,0.013041,0.011560,0.011818,0.012076,0.011319,0.011915,0.012512,0.012514,0.013052,0.013590,0.013934,0.014011,0.014088
50000,0.030685,0.031604,0.032524,0.021016,0.021106,0.021195,0.019582,0.019682,0.019782,0.015687,0.016085,0.016483,0.012062,0.012301,0.012541,0.013054,0.013160,0.013266,0.012720,0.012950,0.013181,0.013216,0.013366,0.013516,0.013585,0.014009,0.014433,0.013125,0.013299,0.013473,0.013889,0.014166,0.014443,0.014284,0.014900,0.015517,0.014022,0.014097,0.014173
60000,0.040066,0.040108,0.040150,0.027169,0.028409,0.029649,0.027320,0.029305,0.031290,0.020224,0.020562,0.020900,0.014709,0.015014,0.015320,0.013479,0.013712,0.013945,0.014507,0.014611,0.014715,0.015026,0.015166,0.015306,0.015428,0.015468,0.015508,0.015020,0.015020,0.015020,0.014511,0.015011,0.015511,0.015022,0.015523,0.016024,0.015277,0.015893,0.016509
70000,0.048526,0.049597,0.050667,0.035652,0.036570,0.037489,0.033007,0.033252,0.033498,0.029651,0.029785,0.029919,0.017261,0.017547,0.017832,0.015935,0.016153,0.016371,0.015144,0.019025,0.022906,0.016206,0.017582,0.018958,0.015906,0.016223,0.016539,0.016569,0.017146,0.017722,0.017201,0.017845,0.018489,0.016580,0.016942,0.017303,0.017018,0.017020,0.017022
80000,0.057528,0.057999,0.058469,0.042645,0.044244,0.045843,0.040959,0.043516,0.046074,0.034144,0.034866,0.035588,0.019963,0.020266,0.020569,0.018245,0.018450,0.018656,0.016834,0.017105,0.017376,0.017348,0.017844,0.018341,0.018157,0.018270,0.018383,0.018028,0.018130,0.018232,0.016513,0.017200,0.017886,0.018323,0.019172,0.020020,0.019025,0.019261,0.019498
90000,0.067593,0.067893,0.068193,0.053563,0.053998,0.054432,0.049224,0.049779,0.050335,0.040124,0.041910,0.043697,0.022891,0.023397,0.023901,0.019189,0.019572,0.019955,0.017989,0.018408,0.018826,0.017515,0.018478,0.019442,0.019122,0.019715,0.020309,0.019666,0.020197,0.020727,0.019300,0.019359,0.019418,0.018372,0.019588,0.020803,0.019906,0.020506,0.021106
100000,0.079087,0.079588,0.080090,0.063994,0.066121,0.068248,0.060091,0.060722,0.061353,0.048875,0.049836,0.050797,0.026836,0.026981,0.027126,0.022840,0.022843,0.022846,0.020025,0.020376,0.020727,0.018712,0.019090,0.019469,0.020628,0.022088,0.023548,0.019914,0.020501,0.021089,0.019518,0.019543,0.019569,0.020107,0.020476,0.020844,0.019631,0.020961,0.022291
