Size,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP2 min,Ver3½=GP2 mean,Ver3½=GP2 max,Ver3½=GP3 min,Ver3½=GP3 mean,Ver3½=GP3 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max
500000,0.254533,0.258768,0.263002,0.378147,0.379287,0.380427,0.407015,0.413670,0.420326,0.441002,0.444234,0.447466,0.447881,0.454161,0.460441,0.439572,0.448219,0.456866,0.452596,0.456482,0.460368,0.440210,0.443640,0.447070,0.438141,0.446915,0.455688,0.445666,0.451018,0.456370,0.448595,0.448789,0.448983
750000,0.391088,0.393623,0.396158,0.571137,0.577885,0.584633,0.588996,0.597874,0.606751,0.652491,0.660552,0.668613,0.657316,0.663415,0.669513,0.657949,0.660505,0.663062,0.646192,0.647494,0.648795,0.653317,0.657773,0.662230,0.653643,0.659491,0.665339,0.654104,0.656723,0.659343,0.647946,0.657338,0.666730
1000000,0.511451,0.514041,0.516632,0.705883,0.711045,0.716207,0.745032,0.745039,0.745046,0.787167,0.789105,0.791042,0.800642,0.805342,0.810041,0.799171,0.804511,0.809852,0.793338,0.795277,0.797216,0.794821,0.795021,0.795220,0.795300,0.798500,0.801699,0.794931,0.801743,0.808556,0.806808,0.811144,0.815480
1250000,0.656386,0.666511,0.676635,0.763929,0.785309,0.806690,0.823474,0.823893,0.824313,0.876422,0.877410,0.878398,0.917986,0.920406,0.922825,0.896349,0.900861,0.905373,0.916079,0.926464,0.936850,0.888633,0.896695,0.904756,0.905114,0.919848,0.934583,0.900479,0.904178,0.907877,0.915085,0.915961,0.916836
1500000,0.810013,0.815008,0.820003,0.850666,0.855922,0.861179,0.898403,0.918229,0.938056,0.964873,0.970896,0.976918,0.984998,1.005644,1.026290,0.999200,1.005784,1.012369,0.993804,0.994739,0.995675,0.979781,0.987715,0.995650,0.996240,0.998475,1.000711,1.002987,1.003174,1.003362,1.006207,1.016349,1.026492
1750000,0.975971,0.982885,0.989799,0.898037,0.900720,0.903404,0.936674,0.954088,0.971503,1.017235,1.026463,1.035691,1.057750,1.060906,1.064062,1.065187,1.070279,1.075371,1.059502,1.071927,1.084353,1.081315,1.083816,1.086318,1.071309,1.094779,1.118248,1.082957,1.083411,1.083865,1.099506,1.115634,1.131763
2000000,1.132891,1.140249,1.147607,0.942477,0.954951,0.967425,1.005924,1.008068,1.010213,1.051471,1.051906,1.052342,1.102958,1.105937,1.108917,1.117648,1.121371,1.125094,1.141379,1.149078,1.156777,1.131430,1.148320,1.165210,1.132399,1.148231,1.164063,1.148473,1.150615,1.152756,1.142768,1.157962,1.173155
3000000,1.909862,1.914733,1.919605,1.430927,1.433164,1.435402,1.244990,1.252373,1.259756,1.305877,1.309218,1.312559,1.351854,1.353030,1.354206,1.356191,1.365942,1.375692,1.379118,1.385222,1.391325,1.367798,1.375730,1.383662,1.385424,1.406950,1.428476,1.406303,1.412505,1.418707,1.417367,1.418657,1.419948
4000000,2.947917,2.956174,2.964431,2.233103,2.255380,2.277657,1.573866,1.582685,1.591505,1.590946,1.608945,1.626945,1.647720,1.648869,1.650018,1.676128,1.706591,1.737055,1.695544,1.738897,1.782249,1.709008,1.718761,1.728514,1.754899,1.764292,1.773684,1.746196,1.746747,1.747299,1.765199,1.770916,1.776634
5000000,4.216652,4.236209,4.255766,3.152869,3.215320,3.277772,2.093961,2.109883,2.125805,1.976526,1.980672,1.984817,2.077859,2.083783,2.089708,2.060692,2.086046,2.111400,2.074079,2.099817,2.125555,2.068591,2.105460,2.142328,2.095096,2.143847,2.192598,2.138675,2.142229,2.145783,2.104910,2.108332,2.111755
