Size,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2½ min,Ver2½ mean,Ver2½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½ min,Ver3½ mean,Ver3½ max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max,Ver3½=GPc min,Ver3½=GPc mean,Ver3½=GPc max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
2000,0.019314,0.021407,0.023931,0.011439,0.012034,0.013068,0.015258,0.015310,0.015484,0.016366,0.016538,0.016605,0.011586,0.011801,0.011921,0.015242,0.015584,0.016786,0.017951,0.018217,0.018467,0.004032,0.004317,0.004596,0.003669,0.004600,0.006990
2050,0.021919,0.023216,0.026133,0.012676,0.013765,0.015926,0.017140,0.017923,0.020343,0.018442,0.019193,0.020257,0.013113,0.013351,0.013648,0.017236,0.017635,0.018719,0.020350,0.020667,0.021376,0.004570,0.004748,0.005218,0.003952,0.004133,0.004313
2100,0.025048,0.025730,0.026767,0.014427,0.014786,0.015038,0.019388,0.019717,0.019894,0.020946,0.021230,0.021437,0.015165,0.015209,0.015281,0.019626,0.019639,0.019674,0.022928,0.023348,0.024600,0.004834,0.006077,0.006631,0.004489,0.004796,0.005655
2150,0.029153,0.029475,0.029851,0.016431,0.016955,0.018070,0.022279,0.022816,0.023673,0.023934,0.024361,0.025559,0.017287,0.017709,0.018642,0.021874,0.022383,0.023555,0.025423,0.025579,0.025820,0.005431,0.005601,0.005785,0.004819,0.004959,0.005122
2200,0.035177,0.036000,0.036837,0.019002,0.019259,0.019646,0.024887,0.025562,0.026845,0.026937,0.027245,0.028427,0.019175,0.019788,0.020969,0.024818,0.025228,0.026480,0.028532,0.028769,0.029122,0.006231,0.006592,0.007336,0.005532,0.005647,0.005831
2250,0.043457,0.044159,0.045420,0.022759,0.023441,0.024227,0.028659,0.028980,0.029273,0.030493,0.030664,0.030926,0.022880,0.023531,0.024655,0.029028,0.029197,0.029447,0.033405,0.033786,0.034531,0.006792,0.006918,0.007094,0.006086,0.007473,0.008721
2300,0.049854,0.050537,0.051562,0.025030,0.025486,0.026631,0.032410,0.032909,0.033816,0.033832,0.034021,0.034286,0.025380,0.025907,0.027214,0.031887,0.032474,0.033642,0.036425,0.036527,0.036636,0.007853,0.008353,0.009277,0.006959,0.007817,0.009145
2350,0.061501,0.061894,0.062654,0.029538,0.029563,0.029589,0.037562,0.037675,0.037796,0.038702,0.039147,0.040070,0.029335,0.031068,0.032897,0.036567,0.036717,0.037114,0.041629,0.041872,0.042471,0.008635,0.008731,0.008907,0.007425,0.008281,0.009682
2400,0.072128,0.074061,0.076374,0.034148,0.034574,0.035643,0.043032,0.043639,0.044978,0.043472,0.044062,0.045614,0.033793,0.034501,0.035691,0.041740,0.042206,0.043148,0.047069,0.047649,0.048836,0.009719,0.010165,0.011556,0.008524,0.009082,0.010659
2450,0.086971,0.088191,0.088894,0.038781,0.041964,0.050696,0.048573,0.049884,0.051512,0.049358,0.050390,0.051400,0.039513,0.041131,0.044945,0.048257,0.049799,0.050911,0.053448,0.054982,0.058287,0.010848,0.011382,0.012701,0.010375,0.010882,0.011931
2500,0.102194,0.103721,0.104876,0.044492,0.045461,0.046755,0.054730,0.055546,0.057571,0.055031,0.055383,0.056280,0.044556,0.045212,0.046284,0.053539,0.054411,0.055486,0.059452,0.059883,0.060882,0.012354,0.013224,0.014354,0.011602,0.012650,0.013675
2550,0.124547,0.125668,0.127049,0.051271,0.053038,0.054369,0.062550,0.064483,0.066008,0.062572,0.063585,0.064563,0.051704,0.052727,0.053886,0.061154,0.062072,0.062776,0.067158,0.067441,0.067992,0.013823,0.014179,0.014999,0.013219,0.013961,0.015060
2600,0.150597,0.152027,0.153612,0.061776,0.062461,0.063194,0.073140,0.074294,0.075445,0.072104,0.072767,0.073988,0.062654,0.063759,0.064423,0.071682,0.072749,0.074033,0.078120,0.078726,0.080253,0.015867,0.016796,0.017944,0.014662,0.015788,0.018288
2650,0.183142,0.184381,0.185953,0.070101,0.071162,0.072941,0.084010,0.084999,0.086724,0.082362,0.082968,0.083843,0.072502,0.074486,0.076894,0.082113,0.083263,0.084826,0.087900,0.089073,0.090907,0.018106,0.018962,0.020340,0.017996,0.019434,0.022937
2700,0.216383,0.221530,0.232759,0.082004,0.082790,0.083710,0.096904,0.098415,0.099116,0.094733,0.095339,0.095868,0.084182,0.085401,0.086813,0.095313,0.096161,0.098935,0.101703,0.102511,0.103601,0.021043,0.021694,0.022613,0.020003,0.020912,0.022167
2750,0.271925,0.273751,0.276326,0.104170,0.105714,0.107662,0.115182,0.116599,0.117268,0.112182,0.113247,0.113987,0.101273,0.102737,0.104599,0.114452,0.114772,0.115181,0.117691,0.119290,0.120288,0.024395,0.025128,0.025955,0.022895,0.025178,0.026717
2800,0.339646,0.341805,0.343423,0.116292,0.117919,0.120754,0.132646,0.133654,0.135000,0.124907,0.125765,0.126301,0.121648,0.123379,0.124988,0.131466,0.132626,0.133429,0.135463,0.136586,0.137633,0.028820,0.029337,0.029821,0.029214,0.030990,0.034466
2850,0.447871,0.454933,0.472323,0.146658,0.148102,0.149272,0.156481,0.158275,0.160546,0.149266,0.150363,0.151934,0.148666,0.149764,0.151553,0.153824,0.155114,0.156005,0.157949,0.159606,0.162136,0.033470,0.034533,0.035766,0.032412,0.034316,0.036124
2900,0.586161,0.591050,0.595093,0.180984,0.182196,0.184883,0.184622,0.185432,0.186832,0.173553,0.174731,0.176499,0.184857,0.186154,0.188267,0.182156,0.182851,0.183543,0.184282,0.185215,0.186364,0.039255,0.039661,0.040210,0.038346,0.040780,0.042478
2950,0.753372,0.756333,0.761251,0.222348,0.223778,0.225508,0.219735,0.221041,0.221489,0.203062,0.205002,0.205944,0.226839,0.228398,0.232028,0.218390,0.219640,0.221937,0.215574,0.217373,0.220237,0.046892,0.047560,0.048272,0.044204,0.047854,0.051064
3000,0.946898,0.948920,0.952059,0.264605,0.265307,0.266043,0.263251,0.263872,0.265349,0.240163,0.240996,0.242038,0.270964,0.272107,0.274953,0.260963,0.263178,0.265597,0.257872,0.258810,0.260707,0.055591,0.056099,0.056529,0.053551,0.057037,0.059535
