Size,Ver2½ min,Ver2½ mean,Ver2½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½ min,Ver3½ mean,Ver3½ max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max,Ver3½=GPc min,Ver3½=GPc mean,Ver3½=GPc max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
10000,0.008640,0.009116,0.009733,0.009656,0.010149,0.010544,0.008988,0.009665,0.010226,0.009263,0.010507,0.012424,0.009035,0.010485,0.011873,0.009289,0.010403,0.011787,0.017083,0.019758,0.021847,0.006370,0.008374,0.010238
20000,0.008283,0.008852,0.009579,0.008324,0.009287,0.010682,0.008323,0.009361,0.010922,0.010404,0.011850,0.013359,0.010218,0.011037,0.012489,0.010193,0.010897,0.012297,0.019882,0.021406,0.022439,0.008079,0.008789,0.009193
30000,0.012692,0.014578,0.016008,0.012700,0.013238,0.014045,0.012762,0.012886,0.013128,0.015048,0.015450,0.015787,0.015515,0.017327,0.020838,0.015028,0.016719,0.019623,0.015111,0.018073,0.022997,0.010947,0.011801,0.013469
40000,0.016592,0.021191,0.030338,0.017983,0.022975,0.032954,0.018052,0.022349,0.030813,0.019283,0.021562,0.025816,0.019819,0.023536,0.030102,0.019592,0.020387,0.020896,0.021765,0.023014,0.023750,0.012790,0.013103,0.013583
50000,0.021924,0.026827,0.031917,0.023923,0.027710,0.032860,0.024925,0.025695,0.026845,0.025216,0.026408,0.027367,0.026086,0.027552,0.029321,0.026152,0.026929,0.028294,0.024458,0.025257,0.025802,0.015452,0.016131,0.017262
60000,0.029167,0.029462,0.029653,0.031595,0.031899,0.032166,0.032032,0.032302,0.032758,0.030718,0.031836,0.032567,0.032365,0.033258,0.034432,0.032751,0.033257,0.033781,0.024838,0.026922,0.028996,0.018319,0.021260,0.026278
70000,0.035235,0.041315,0.048850,0.039989,0.046559,0.058428,0.041024,0.049591,0.063520,0.037614,0.038230,0.039167,0.039716,0.040039,0.040249,0.040274,0.040455,0.040643,0.024222,0.025867,0.027053,0.021421,0.021992,0.022671
80000,0.044354,0.044659,0.045161,0.051838,0.052280,0.052641,0.051039,0.052994,0.054079,0.044228,0.046299,0.049881,0.048283,0.048688,0.049181,0.049282,0.049851,0.050138,0.026555,0.027082,0.028105,0.025401,0.028208,0.033686
90000,0.050732,0.051017,0.051230,0.060627,0.062261,0.063203,0.063557,0.065087,0.067134,0.051784,0.052096,0.052420,0.056875,0.058616,0.061533,0.060031,0.060284,0.060482,0.026315,0.027191,0.028487,0.028132,0.031363,0.037214
100000,0.059961,0.061277,0.063363,0.071071,0.071927,0.072363,0.074233,0.075412,0.076461,0.061376,0.061903,0.062677,0.072891,0.074299,0.076157,0.074253,0.074976,0.075432,0.027493,0.030300,0.033720,0.033336,0.036445,0.042208
125000,0.083264,0.085010,0.086344,0.101739,0.104603,0.107452,0.113712,0.125688,0.149342,0.089748,0.100025,0.118798,0.100616,0.113495,0.131797,0.115951,0.129136,0.152089,0.032702,0.034053,0.034786,0.043963,0.044250,0.044408
150000,0.114168,0.114532,0.114867,0.146411,0.147806,0.148854,0.168890,0.169831,0.171413,0.111629,0.111986,0.112392,0.135337,0.136456,0.138630,0.160107,0.165584,0.175105,0.038715,0.040857,0.044241,0.054720,0.056876,0.057997
175000,0.148242,0.152372,0.154494,0.192774,0.196556,0.202172,0.230925,0.233495,0.237201,0.142627,0.146591,0.153585,0.183763,0.184070,0.184438,0.227876,0.236229,0.240593,0.046621,0.049177,0.051866,0.069524,0.069871,0.070459
200000,0.194210,0.202600,0.210962,0.249318,0.270622,0.298258,0.312441,0.325054,0.350213,0.182334,0.188596,0.197697,0.250238,0.256750,0.265498,0.320775,0.333776,0.346525,0.060774,0.064982,0.070129,0.085227,0.087523,0.090774
