Size,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½=GPc min,Ver3½=GPc mean,Ver3½=GPc max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
500000,0.401859,0.410780,0.420879,0.493662,0.550324,0.635194,0.946893,1.015721,1.091158,0.387500,0.409547,0.438256
750000,0.542725,0.563534,0.574752,0.637737,0.676782,0.709360,1.660140,1.712461,1.779393,0.624181,0.676834,0.723290
1000000,0.754499,0.790135,0.824977,0.849514,0.894935,0.968749,2.005529,2.042545,2.063826,0.793383,0.867358,0.913946
1250000,0.913424,0.967424,0.995004,1.286270,1.307073,1.318865,1.946850,2.017688,2.062446,1.116281,1.152974,1.200300
1500000,1.047223,1.053200,1.060478,1.353781,1.396622,1.432358,2.015602,2.111425,2.227404,1.239124,1.290013,1.358821
1750000,1.247204,1.286316,1.316153,1.652792,1.674719,1.689194,2.298529,2.344295,2.382345,1.294252,1.402464,1.529208
2000000,1.304101,1.343109,1.390569,1.741929,1.821526,1.979319,2.131912,2.181345,2.210333,1.425108,1.470665,1.529827
3000000,2.080144,2.125367,2.157029,2.540361,2.638289,2.755607,2.262653,2.321981,2.418298,1.876058,1.886318,1.900635
4000000,2.919587,2.972116,3.065768,3.471120,3.589885,3.716880,2.230008,2.290217,2.353757,2.220239,2.443967,2.579833
5000000,3.999496,4.051516,4.131665,4.726027,4.882153,4.982871,2.139184,2.241434,2.374955,2.880797,3.089724,3.296577
