Size,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2½ min,Ver2½ mean,Ver2½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½ min,Ver3½ mean,Ver3½ max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
2000,0.019176,0.020515,0.023820,0.011818,0.012527,0.014104,0.011145,0.011394,0.011706,0.011456,0.012163,0.013632,0.012348,0.012597,0.012952,0.012053,0.012100,0.012160,0.013441,0.014059,0.015709,0.012663,0.013766,0.015736,0.003716,0.004102,0.004841,0.002965,0.003313,0.003785,0.002518,0.003644,0.006103,0.002474,0.003040,0.003638,0.002584,0.002961,0.003570,0.002767,0.003544,0.006125,0.002948,0.003768,0.004404,0.003061,0.004170,0.005180
2050,0.021647,0.022291,0.023305,0.013034,0.013468,0.014621,0.012327,0.013023,0.014162,0.012559,0.012910,0.013500,0.013731,0.014555,0.015541,0.013137,0.013510,0.013861,0.014564,0.015216,0.016351,0.013791,0.014019,0.014152,0.003792,0.004109,0.004333,0.003128,0.003707,0.005525,0.002537,0.002840,0.003328,0.002521,0.002770,0.003195,0.002548,0.002927,0.003520,0.002535,0.002744,0.003111,0.002750,0.002903,0.003083,0.003351,0.003761,0.005121
2100,0.024974,0.026053,0.028754,0.015193,0.015827,0.016931,0.013992,0.014583,0.015443,0.014387,0.014654,0.015519,0.015710,0.016320,0.017168,0.014724,0.014886,0.014984,0.016345,0.016521,0.016627,0.015441,0.015886,0.016440,0.004086,0.004478,0.004886,0.003448,0.003791,0.004889,0.002835,0.003233,0.003473,0.002846,0.003131,0.003381,0.002754,0.003083,0.003552,0.002758,0.003601,0.004813,0.002943,0.003670,0.004963,0.003814,0.003954,0.004176
2150,0.028869,0.029765,0.031914,0.017052,0.017394,0.017554,0.015941,0.016694,0.018201,0.016009,0.016092,0.016185,0.018197,0.018837,0.019859,0.016558,0.017051,0.017536,0.018016,0.018481,0.019189,0.017112,0.017326,0.017770,0.004961,0.005660,0.006305,0.003760,0.003832,0.003971,0.003057,0.003137,0.003250,0.003007,0.003171,0.003558,0.003160,0.003295,0.003687,0.003055,0.003252,0.003541,0.003125,0.004050,0.005966,0.003863,0.005146,0.006517
2200,0.035013,0.036060,0.038125,0.019808,0.020438,0.021327,0.017833,0.018018,0.018532,0.017864,0.018049,0.018290,0.020636,0.021288,0.022836,0.018761,0.019100,0.019597,0.020511,0.020599,0.020689,0.019215,0.019739,0.020872,0.005138,0.005438,0.006058,0.004113,0.004527,0.005686,0.003397,0.003984,0.005698,0.003437,0.003586,0.003786,0.003581,0.003978,0.004921,0.003352,0.003676,0.004144,0.003671,0.003886,0.004238,0.004339,0.004879,0.005834
2250,0.042263,0.042594,0.043017,0.022257,0.022674,0.023032,0.019846,0.020066,0.020176,0.019393,0.019886,0.020288,0.024793,0.025413,0.026491,0.020464,0.020678,0.021061,0.022123,0.022356,0.022641,0.021356,0.021476,0.021658,0.005526,0.005942,0.006124,0.004560,0.004671,0.004745,0.003818,0.003859,0.003877,0.003789,0.003815,0.003844,0.003747,0.003921,0.004057,0.003786,0.003854,0.003950,0.005454,0.005535,0.005618,0.004924,0.005109,0.005200
2300,0.048907,0.049622,0.050736,0.026128,0.026668,0.027468,0.022662,0.022687,0.022751,0.022193,0.022510,0.023323,0.026778,0.027379,0.028107,0.023051,0.023541,0.024611,0.024944,0.025350,0.026393,0.024082,0.024495,0.025396,0.006266,0.006782,0.007698,0.005033,0.005575,0.006842,0.004337,0.004624,0.005370,0.004243,0.004714,0.005925,0.004419,0.004766,0.005870,0.004277,0.004538,0.005240,0.004336,0.004862,0.006678,0.005747,0.005838,0.006036
2350,0.059276,0.060045,0.060817,0.030297,0.031326,0.033430,0.026220,0.027031,0.027872,0.024947,0.025461,0.025852,0.031638,0.032065,0.032613,0.026265,0.026714,0.027045,0.028057,0.028826,0.030266,0.027258,0.027487,0.027593,0.007540,0.007757,0.008071,0.005844,0.006420,0.007221,0.004774,0.005154,0.005799,0.004811,0.005707,0.006451,0.004869,0.005136,0.005668,0.004790,0.004926,0.005226,0.004903,0.005575,0.006695,0.006198,0.006959,0.008290
2400,0.071752,0.073529,0.076935,0.034253,0.034627,0.035529,0.029238,0.029754,0.030336,0.027863,0.028661,0.030050,0.035416,0.036288,0.036968,0.029512,0.029697,0.030024,0.031426,0.031569,0.031659,0.030341,0.030748,0.031402,0.008404,0.009298,0.010505,0.006344,0.007011,0.007889,0.005503,0.006264,0.007138,0.005373,0.006239,0.008242,0.005629,0.006183,0.007029,0.005406,0.006296,0.007532,0.005445,0.006064,0.007282,0.006832,0.007886,0.009429
2450,0.083382,0.084662,0.086718,0.040495,0.042150,0.047427,0.032929,0.034404,0.039721,0.031500,0.032370,0.035155,0.040788,0.041124,0.041566,0.033461,0.034020,0.035297,0.035274,0.035376,0.035671,0.034725,0.036025,0.036691,0.008894,0.009541,0.010829,0.007296,0.007390,0.007514,0.006060,0.006113,0.006166,0.006075,0.006199,0.006345,0.006064,0.006444,0.006906,0.006099,0.006195,0.006416,0.006711,0.007648,0.008088,0.007688,0.008192,0.008736
2500,0.099139,0.101315,0.103565,0.044772,0.046290,0.047585,0.036788,0.037194,0.037598,0.034977,0.035218,0.035553,0.046319,0.047250,0.047916,0.037397,0.038185,0.039771,0.038768,0.039456,0.040278,0.038270,0.038888,0.040154,0.010536,0.010817,0.011098,0.008148,0.008355,0.008768,0.006790,0.007153,0.008134,0.006736,0.007400,0.008375,0.007185,0.007740,0.008610,0.006722,0.007157,0.008568,0.006799,0.007153,0.008412,0.008842,0.010169,0.011268
2550,0.120855,0.121396,0.121783,0.051899,0.052812,0.053945,0.041871,0.042039,0.042234,0.039180,0.039779,0.040758,0.053592,0.054083,0.055188,0.041941,0.042059,0.042188,0.043371,0.044003,0.045013,0.042839,0.043119,0.043368,0.011649,0.012291,0.013184,0.008978,0.009225,0.009313,0.007587,0.008355,0.009690,0.007528,0.007707,0.007957,0.007794,0.008243,0.009156,0.007547,0.008523,0.009977,0.007579,0.007863,0.008201,0.009315,0.010897,0.011935
2600,0.143480,0.144732,0.145807,0.062576,0.062927,0.063278,0.048623,0.048980,0.049640,0.044905,0.045458,0.046153,0.063327,0.063839,0.064291,0.049194,0.050038,0.051380,0.050117,0.050947,0.051863,0.050266,0.050583,0.051008,0.013902,0.014178,0.014508,0.010633,0.010790,0.010973,0.008832,0.008972,0.009110,0.009056,0.010305,0.010955,0.008966,0.009656,0.010546,0.008872,0.008985,0.009128,0.008791,0.009020,0.009662,0.011053,0.012336,0.013781
2650,0.175349,0.178260,0.183170,0.071943,0.073033,0.075051,0.055417,0.056147,0.057054,0.050808,0.052161,0.052621,0.075204,0.077024,0.078929,0.056242,0.056970,0.058029,0.056423,0.057223,0.057912,0.056798,0.058147,0.059088,0.015668,0.016029,0.016676,0.012126,0.012907,0.013698,0.010407,0.012003,0.014730,0.010315,0.010989,0.011877,0.010508,0.011529,0.012784,0.010478,0.011545,0.013540,0.010183,0.011146,0.012934,0.012398,0.014130,0.015904
2700,0.207389,0.214262,0.227176,0.084353,0.087617,0.096628,0.064184,0.067565,0.073421,0.059108,0.061642,0.063870,0.087201,0.088805,0.091895,0.064481,0.068021,0.076805,0.064466,0.068968,0.076721,0.065489,0.068194,0.074238,0.017618,0.019186,0.024125,0.013917,0.016195,0.019048,0.011602,0.014856,0.019471,0.012925,0.015076,0.017254,0.012135,0.015128,0.020871,0.011747,0.013557,0.016115,0.011444,0.014256,0.020525,0.015438,0.016128,0.016777
2750,0.264573,0.289474,0.380944,0.110529,0.112014,0.114233,0.077373,0.078264,0.079317,0.069256,0.070411,0.070866,0.105358,0.107836,0.111275,0.075314,0.076259,0.076589,0.073833,0.075321,0.078178,0.076539,0.077948,0.078607,0.020157,0.021132,0.021779,0.016157,0.016622,0.018171,0.013590,0.014408,0.015474,0.014105,0.015152,0.017921,0.013648,0.015369,0.019063,0.013612,0.014317,0.014790,0.013616,0.014964,0.017022,0.018519,0.020184,0.023128
2800,0.325169,0.328716,0.335822,0.120691,0.122206,0.125135,0.088144,0.089211,0.091526,0.076982,0.078201,0.080298,0.125538,0.127719,0.130023,0.088043,0.089376,0.090850,0.084758,0.085592,0.087532,0.089315,0.090046,0.090552,0.024589,0.025238,0.025980,0.018610,0.019196,0.020745,0.016146,0.017079,0.019260,0.015950,0.017536,0.019756,0.016620,0.017486,0.018356,0.015808,0.016397,0.018371,0.015670,0.016384,0.017529,0.018630,0.021591,0.024138
2850,0.430755,0.439070,0.447325,0.148490,0.151956,0.156655,0.104049,0.105196,0.106835,0.090818,0.094697,0.099487,0.153877,0.156321,0.159326,0.103009,0.104288,0.106430,0.099224,0.101069,0.104877,0.105366,0.108032,0.115806,0.027604,0.028536,0.029635,0.021715,0.023000,0.023880,0.018536,0.019593,0.020191,0.019297,0.021173,0.024074,0.019683,0.034378,0.075239,0.018424,0.026089,0.047980,0.018346,0.023910,0.037914,0.024075,0.029518,0.039492
2900,0.560904,0.572199,0.596530,0.186136,0.188404,0.193161,0.119392,0.120824,0.122344,0.105248,0.106440,0.107688,0.187863,0.190604,0.194468,0.120889,0.123579,0.130375,0.114058,0.115818,0.120012,0.122495,0.125282,0.128722,0.032034,0.033093,0.033572,0.025655,0.026512,0.027715,0.021878,0.022657,0.023024,0.021707,0.023802,0.025182,0.022114,0.023728,0.024301,0.021437,0.022788,0.023496,0.021463,0.022727,0.023844,0.025946,0.028536,0.030497
2950,0.718433,0.724170,0.732903,0.227185,0.229710,0.232815,0.143450,0.146461,0.156613,0.122816,0.125169,0.132043,0.229554,0.233461,0.240388,0.144783,0.148610,0.152010,0.132582,0.135758,0.138658,0.145300,0.147878,0.152001,0.038230,0.039553,0.040552,0.029952,0.030678,0.032704,0.026822,0.028331,0.031751,0.025808,0.029102,0.036042,0.027476,0.029499,0.035123,0.025659,0.026598,0.028832,0.026471,0.027837,0.030995,0.029621,0.033155,0.035325
3000,0.907143,0.914445,0.935759,0.278141,0.279902,0.283197,0.169259,0.170097,0.171478,0.143888,0.145105,0.146286,0.277121,0.280004,0.284010,0.170601,0.172453,0.174954,0.157408,0.158880,0.161886,0.171613,0.172485,0.173844,0.044865,0.046392,0.047768,0.035801,0.037141,0.038869,0.030694,0.031508,0.032595,0.032159,0.033109,0.034144,0.030914,0.032000,0.033233,0.031089,0.031602,0.032159,0.030316,0.031301,0.032632,0.037274,0.040158,0.042318
