Size,Ver2½ min,Ver2½ mean,Ver2½ max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½ min,Ver3½ mean,Ver3½ max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
10000,0.004289,0.005026,0.006295,0.003609,0.004617,0.006130,0.003565,0.004723,0.006424,0.004109,0.004975,0.006574,0.003776,0.005210,0.007404,0.003893,0.005492,0.007907,0.039471,0.046508,0.059748,0.008317,0.018166,0.033583,0.007817,0.009279,0.011034,0.007843,0.009516,0.011662,0.007910,0.009676,0.012536,0.007697,0.009100,0.011743,0.007695,0.008859,0.010949,0.006733,0.008633,0.011719,0.003553,0.003795,0.004278
20000,0.008700,0.008999,0.009154,0.007319,0.007923,0.009105,0.007258,0.007776,0.008785,0.008454,0.009628,0.011548,0.006666,0.007681,0.009576,0.006505,0.007521,0.009292,0.041707,0.046532,0.055957,0.009706,0.010753,0.012608,0.009388,0.009581,0.009793,0.008953,0.009121,0.009251,0.008764,0.009147,0.009683,0.008904,0.008934,0.008973,0.008800,0.008880,0.008927,0.008830,0.008962,0.009070,0.005429,0.006302,0.008001
30000,0.013367,0.016361,0.022004,0.010670,0.013839,0.020106,0.010585,0.013676,0.019644,0.012748,0.013128,0.013886,0.009822,0.011198,0.013927,0.009831,0.010033,0.010175,0.045059,0.048966,0.053947,0.011005,0.011049,0.011088,0.010422,0.010465,0.010504,0.010465,0.010497,0.010531,0.009983,0.010207,0.010593,0.009855,0.009990,0.010164,0.009885,0.010046,0.010240,0.009817,0.009965,0.010169,0.006959,0.007099,0.007175
40000,0.019188,0.022856,0.026416,0.015297,0.017733,0.022548,0.015645,0.018183,0.022397,0.018590,0.019198,0.020406,0.013998,0.014657,0.015169,0.014334,0.015518,0.016621,0.058937,0.061068,0.064299,0.012108,0.012334,0.012509,0.011655,0.011891,0.012145,0.011326,0.011710,0.011935,0.011216,0.011884,0.012531,0.011175,0.011369,0.011541,0.011072,0.011437,0.012006,0.011085,0.011243,0.011529,0.008278,0.008365,0.008458
50000,0.025909,0.026345,0.027060,0.019794,0.020051,0.020529,0.019627,0.019965,0.020189,0.024519,0.026743,0.029428,0.018590,0.018899,0.019209,0.018859,0.019771,0.020859,0.080663,0.084827,0.087184,0.013449,0.013757,0.014131,0.012754,0.012880,0.013048,0.012524,0.012580,0.012632,0.012386,0.012618,0.012751,0.012326,0.012448,0.012657,0.012172,0.012400,0.012602,0.012300,0.013774,0.016059,0.009567,0.009735,0.009831
60000,0.034025,0.038931,0.046662,0.025358,0.030573,0.040670,0.025294,0.030979,0.041337,0.031765,0.036590,0.045876,0.024291,0.025133,0.026478,0.024906,0.025983,0.027590,0.092321,0.097993,0.104082,0.016029,0.016398,0.016865,0.014351,0.014745,0.015227,0.013666,0.013971,0.014163,0.013705,0.013830,0.013953,0.013621,0.014893,0.017407,0.013506,0.013612,0.013773,0.013565,0.013700,0.013827,0.011303,0.011329,0.011376
70000,0.043078,0.044025,0.045179,0.032127,0.033238,0.035107,0.032328,0.033643,0.036068,0.039181,0.039896,0.040625,0.030388,0.031249,0.031819,0.031648,0.033577,0.036949,0.110798,0.118989,0.124699,0.017900,0.018924,0.020444,0.015691,0.016279,0.016843,0.015399,0.026091,0.046654,0.014684,0.016336,0.019206,0.014937,0.014997,0.015098,0.014615,0.014770,0.014963,0.014776,0.015206,0.015495,0.012610,0.013188,0.014091
80000,0.051235,0.057821,0.070888,0.038822,0.038970,0.039134,0.039685,0.040884,0.043137,0.048054,0.050228,0.053445,0.038368,0.038654,0.039066,0.039639,0.040343,0.040799,0.129286,0.132612,0.136742,0.021822,0.022022,0.022311,0.017073,0.017447,0.017755,0.016553,0.016660,0.016869,0.016191,0.016224,0.016280,0.016047,0.016327,0.016479,0.015876,0.015977,0.016036,0.015744,0.016235,0.016878,0.014435,0.014510,0.014554
90000,0.061113,0.061349,0.061746,0.046797,0.047447,0.047991,0.048512,0.049496,0.051263,0.057710,0.058716,0.060091,0.045833,0.046992,0.048099,0.048855,0.049348,0.050084,0.139158,0.141888,0.145616,0.024282,0.026247,0.028848,0.020165,0.021870,0.025211,0.018193,0.020158,0.024066,0.017551,0.017627,0.017689,0.016984,0.017146,0.017384,0.017116,0.017210,0.017380,0.017172,0.017841,0.018948,0.016010,0.016476,0.016934
100000,0.072765,0.073291,0.073799,0.055774,0.056328,0.056905,0.056957,0.057754,0.058269,0.068418,0.068654,0.068956,0.057809,0.060085,0.064631,0.061733,0.065208,0.069373,0.157395,0.158749,0.159479,0.029079,0.030579,0.032148,0.023207,0.023544,0.023952,0.020560,0.021369,0.021866,0.019759,0.020653,0.021839,0.019223,0.019447,0.019784,0.018765,0.019059,0.019646,0.018372,0.018780,0.019485,0.017797,0.017989,0.018116
125000,0.106117,0.106900,0.107677,0.082325,0.083903,0.086948,0.088293,0.090344,0.092318,0.097794,0.098467,0.098849,0.083071,0.085876,0.089040,0.094822,0.095163,0.095825,0.181840,0.187533,0.190970,0.041286,0.043032,0.044715,0.030695,0.031562,0.033038,0.027718,0.030636,0.033703,0.025195,0.025740,0.026069,0.024082,0.024443,0.025081,0.023954,0.024175,0.024361,0.023285,0.025553,0.029323,0.021716,0.021853,0.021966
150000,0.141162,0.144479,0.150849,0.112928,0.115666,0.120491,0.128443,0.134280,0.143529,0.135268,0.140140,0.142684,0.115807,0.116900,0.119000,0.141298,0.141787,0.142173,0.208835,0.213666,0.220219,0.068675,0.070141,0.072298,0.043271,0.043534,0.043948,0.033753,0.034252,0.034831,0.031458,0.033620,0.037877,0.030000,0.030778,0.031523,0.029838,0.030225,0.030466,0.029536,0.031893,0.036257,0.028236,0.028968,0.030307
175000,0.188547,0.191317,0.192854,0.151374,0.152406,0.154094,0.180456,0.180861,0.181249,0.181303,0.182452,0.183870,0.166667,0.171046,0.179295,0.210871,0.213430,0.215653,0.237374,0.243525,0.254546,0.091128,0.094662,0.099184,0.059925,0.066212,0.072397,0.043821,0.044151,0.044640,0.040867,0.041318,0.041574,0.039211,0.040383,0.040997,0.039840,0.040283,0.040760,0.039029,0.042284,0.047624,0.034659,0.036736,0.040731
200000,0.235963,0.237705,0.239672,0.199423,0.203418,0.210206,0.243122,0.246014,0.251749,0.234922,0.238192,0.243180,0.223470,0.225678,0.228219,0.298365,0.300251,0.302755,0.283830,0.288175,0.294687,0.109745,0.110191,0.110588,0.082446,0.086673,0.092921,0.056386,0.059539,0.065725,0.052433,0.053064,0.054009,0.051640,0.052730,0.054871,0.050713,0.051228,0.051740,0.050376,0.055100,0.063169,0.046277,0.047706,0.049214
