Size,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½=GP1 min,Ver3½=GP1 mean,Ver3½=GP1 max,Ver3½=GP4 min,Ver3½=GP4 mean,Ver3½=GP4 max,Ver3½=GP5 min,Ver3½=GP5 mean,Ver3½=GP5 max,Ver3½=GP6 min,Ver3½=GP6 mean,Ver3½=GP6 max,Ver3½=GP8 min,Ver3½=GP8 mean,Ver3½=GP8 max,Ver3½=GP16 min,Ver3½=GP16 mean,Ver3½=GP16 max,Ver3½=GP64 min,Ver3½=GP64 mean,Ver3½=GP64 max,Ver3½=GP256 min,Ver3½=GP256 mean,Ver3½=GP256 max,Ver3½=GPs min,Ver3½=GPs mean,Ver3½=GPs max
500000,0.339054,0.341476,0.344559,0.310193,0.318745,0.327483,0.588476,0.599915,0.614539,0.618919,0.633137,0.657613,0.583236,0.638331,0.727013,0.607530,0.615407,0.627966,0.609506,0.621309,0.644311,0.576309,0.609108,0.639245,0.566088,0.590792,0.613225,0.474186,0.477662,0.480367,0.285342,0.285943,0.286366
750000,0.425005,0.446476,0.459536,0.477869,0.507602,0.524116,0.861830,0.887200,0.928195,0.889322,0.893411,0.895663,0.878138,0.885095,0.894960,0.879200,0.908282,0.954148,0.877661,0.905522,0.927908,0.891582,0.924383,0.948658,0.866494,0.868899,0.870697,0.691211,0.705913,0.713904,0.473337,0.476669,0.478582
1000000,0.577619,0.582265,0.588588,0.623926,0.644065,0.683097,1.072050,1.090961,1.118260,1.105686,1.123061,1.152515,1.167485,1.180346,1.190358,1.094474,1.100829,1.104895,1.091185,1.113389,1.152791,1.096046,1.124788,1.160171,1.066922,1.101294,1.149044,0.813056,0.871648,0.904493,0.562884,0.581098,0.601973
1250000,0.738727,0.753280,0.768867,0.864586,0.872607,0.886248,1.319128,1.344094,1.391971,1.333116,1.399689,1.434133,1.345739,1.390193,1.430055,1.357084,1.377128,1.392662,1.358362,1.398530,1.427871,1.387716,1.428518,1.470522,1.249344,1.286133,1.310018,1.023676,1.101082,1.141738,0.692942,0.754513,0.814171
1500000,0.865372,0.905966,0.969675,1.008476,1.033532,1.081426,1.480731,1.541736,1.576254,1.497027,1.526603,1.579129,1.611762,1.614284,1.619148,1.593357,1.604424,1.621622,1.491725,1.536926,1.621373,1.494480,1.565177,1.606304,1.499140,1.527077,1.545546,1.095094,1.162957,1.210100,0.763683,0.816997,0.897831
1750000,1.002499,1.015489,1.023715,1.175564,1.221716,1.272229,1.643555,1.692588,1.774786,1.691843,1.731643,1.756906,1.744225,1.755743,1.766846,1.781174,1.797932,1.807209,1.646986,1.688673,1.766576,1.784527,1.797733,1.816382,1.565678,1.603280,1.627250,1.200617,1.235711,1.287229,0.969445,0.979974,0.997711
2000000,1.158419,1.204577,1.268757,1.282563,1.345767,1.392685,1.775922,1.898746,1.961480,1.821826,1.889135,1.999528,1.965333,1.970538,1.979824,1.817838,1.897033,1.990361,1.815186,1.917554,1.995597,1.937213,1.954996,1.966226,1.627171,1.702684,1.749444,1.250439,1.323181,1.461382,1.041853,1.092195,1.142714
3000000,1.840434,1.862291,1.887200,1.978924,2.075404,2.131553,2.572619,2.643075,2.780456,2.564233,2.666196,2.723026,2.731816,2.753515,2.785709,2.547995,2.624439,2.762014,2.543757,2.699677,2.780883,2.696018,2.714626,2.748664,1.707294,1.863264,1.944672,1.560087,1.631912,1.755740,1.209973,1.373400,1.463256
4000000,2.805940,2.833061,2.851131,3.023493,3.120897,3.175922,3.539936,3.623106,3.781652,3.839468,3.865040,3.898751,3.598837,3.711203,3.830406,3.586652,3.725876,3.814420,3.576284,3.736124,3.834617,3.487244,3.603562,3.805653,2.207894,2.219666,2.229899,1.911703,1.949162,2.008326,1.723014,1.825111,1.878499
5000000,3.658460,3.680549,3.716921,3.941751,4.029529,4.107529,4.400854,4.455249,4.530868,4.585067,4.688236,4.740204,4.497605,4.659115,4.832963,4.563831,4.616137,4.713309,4.405679,4.599644,4.745364,3.980902,4.214001,4.414936,2.255222,2.370301,2.539092,2.148551,2.278088,2.520777,1.851270,2.075179,2.221437
