Size,Ver1 min,Ver1 mean,Ver1 max,Ver1½ min,Ver1½ mean,Ver1½ max,Ver2-GP min,Ver2-GP mean,Ver2-GP max,Ver2½-GP min,Ver2½-GP mean,Ver2½-GP max,Ver2½-GPX min,Ver2½-GPX mean,Ver2½-GPX max,Ver3½-GP min,Ver3½-GP mean,Ver3½-GP max,Ver3½-GPX min,Ver3½-GPX mean,Ver3½-GPX max
10000,nan,nan,nan,nan,nan,nan,0.012248400002135895,0.012518800001998898,0.01300430000264896,0.0088504000013927,0.009071866666393666,0.009483499998168554,0.008733599999686703,0.008769933330768254,0.008824699994875118,0.016337000000930857,0.016393033334073454,0.01645450000069104,0.01627159999770811,0.016284733334032353,0.016295400004310068
20000,nan,nan,nan,nan,nan,nan,0.02147079999849666,0.021955699999428663,0.022456300001067575,0.015360500001406763,0.015473533332018027,0.015662199999496806,0.015122799995879177,0.015215633330323422,0.015314799995394424,0.02912340000330005,0.029381100003471754,0.029545000004873145,0.02915220000431873,0.0291987333354579,0.029281100003572647
30000,nan,nan,nan,nan,nan,nan,0.03270200000406476,0.03309043333380638,0.033815700000559445,0.023046000002068467,0.02334770000015851,0.023781999996572267,0.02280829999654088,0.022997866666022066,0.023238000001583714,0.04231440000148723,0.04280529999959981,0.043295999996189494,0.04216900000028545,0.043252699998750664,0.04401009999855887
40000,nan,nan,nan,nan,nan,nan,0.042726899999252055,0.044520066665427294,0.04783309999766061,0.03100080000149319,0.031135599999591552,0.03123760000016773,0.03067890000238549,0.030822600000343908,0.030923999998776708,0.055704500002320856,0.05606923333349793,0.05656619999354007,0.05537190000177361,0.056276799999371484,0.05750840000109747
50000,nan,nan,nan,nan,nan,nan,0.054003999997803476,0.0544238666673967,0.05490060000010999,0.040203000004112255,0.04079006666628023,0.04190709999966202,0.03998449999926379,0.0402063333337234,0.04063770000357181,0.07149519999802578,0.07202856666602504,0.07307209999999031,0.0710802000030526,0.07238620000134688,0.07453350000287173
60000,nan,nan,nan,nan,nan,nan,0.06643099999928381,0.06756280000020827,0.06849589999910677,0.04958640000404557,0.049697066666946434,0.04991819999850122,0.049996900001133326,0.050430066667710584,0.05113060000439873,0.08530679999967106,0.08680133333352084,0.08814400000119349,0.08623439999792026,0.08712210000036673,0.0886568999994779
70000,nan,nan,nan,nan,nan,nan,0.08044040000095265,0.081487766665911,0.08255079999798909,0.061354699995717965,0.06257519999780925,0.06499809999513673,0.0620474999959697,0.06257996666439188,0.06304649999947287,0.10292240000126185,0.10328809999919031,0.10368759999983013,0.1037032000022009,0.10417293333496976,0.10495500000251923
80000,nan,nan,nan,nan,nan,nan,0.09561310000572121,0.09691353333376658,0.09782099999574712,0.07291759999498026,0.0736301333308802,0.07451099999889266,0.07624159999977564,0.07710210000126001,0.07835640000121202,0.11965529999724822,0.11993419999877612,0.12033779999910621,0.12142880000465084,0.12186203333597707,0.12215809999906924
90000,nan,nan,nan,nan,nan,nan,0.11358849999669474,0.11453776666409492,0.11501399999542627,0.08792669999820646,0.08825383333169157,0.08846130000165431,0.09032850000221515,0.09061956666846527,0.0909795000043232,0.1368307000011555,0.13786390000313986,0.13949380000121891,0.14144130000204314,0.1419279333325297,0.14259289999608882
100000,nan,nan,nan,nan,nan,nan,0.13083250000636326,0.13207306666784766,0.13346099999762373,0.1000413999936427,0.1009890666634116,0.1019423999969149,0.10419489999912912,0.10518196666574416,0.10583679999399465,0.15433679999841843,0.15537429999919064,0.1561714999988908,0.15995500000281027,0.16034759999941647,0.16059729999687988
125000,nan,nan,nan,nan,nan,nan,0.17810930000268854,0.17906430000342274,0.18067580000206362,0.13929230000212556,0.1406551333348034,0.1427454000004218,0.15088079999986803,0.1516674000013154,0.15262670000083745,0.20146530000056373,0.20172680000056667,0.20186620000458788,0.21482999999716412,0.21590706666514356,0.21657799999957206
150000,nan,nan,nan,nan,nan,nan,0.22821729999850504,0.2303540666665261,0.23156569999991916,0.1826677999997628,0.18321516666765092,0.18430620000435738,0.20351510000182316,0.20431340000019796,0.20550309999816818,0.255432900004962,0.2571151000011014,0.2589025999986916,0.28371920000063255,0.2846828999997039,0.28638869999849703
175000,nan,nan,nan,nan,nan,nan,0.28770629999780795,0.28937536666489905,0.2907922000013059,0.23323240000172518,0.23438750000059372,0.23581600000034086,0.26889890000165906,0.26942133333310875,0.2702382999996189,0.31908390000171494,0.31985219999963493,0.3206424999953015,0.36534159999428084,0.366338833332217,0.3674094000016339
200000,nan,nan,nan,nan,nan,nan,0.3514584999938961,0.3533714333292058,0.3554900999952224,0.28920629999629455,0.2907938999972733,0.29284789999655914,0.3432253999999375,0.3451011333333251,0.34701700000005076,0.3800773000039044,0.3819098666669258,0.3835382999968715,0.4552036000022781,0.45600806666576926,0.45682619999570306
