Size,Ver1@Hash min,Ver1@Hash mean,Ver1@Hash max,Ver1½@Hash min,Ver1½@Hash mean,Ver1½@Hash max,Ver2-GP@Hash min,Ver2-GP@Hash mean,Ver2-GP@Hash max,Ver2½@Hash min,Ver2½@Hash mean,Ver2½@Hash max,Ver2½-GP@Hash min,Ver2½-GP@Hash mean,Ver2½-GP@Hash max,Ver2½-GPX@Hash min,Ver2½-GPX@Hash mean,Ver2½-GPX@Hash max,Ver2½-RP@Hash min,Ver2½-RP@Hash mean,Ver2½-RP@Hash max,Ver3½-GP@Hash min,Ver3½-GP@Hash mean,Ver3½-GP@Hash max,Ver3½-GPX@Hash min,Ver3½-GPX@Hash mean,Ver3½-GPX@Hash max,Ver3½=GP1@Hash min,Ver3½=GP1@Hash mean,Ver3½=GP1@Hash max,Ver3½=GP4@Hash min,Ver3½=GP4@Hash mean,Ver3½=GP4@Hash max,Ver3½=GP5@Hash min,Ver3½=GP5@Hash mean,Ver3½=GP5@Hash max,Ver3½=GP6@Hash min,Ver3½=GP6@Hash mean,Ver3½=GP6@Hash max,Ver3½=GP8@Hash min,Ver3½=GP8@Hash mean,Ver3½=GP8@Hash max,Ver3½=GP16@Hash min,Ver3½=GP16@Hash mean,Ver3½=GP16@Hash max,Ver3½=GP64@Hash min,Ver3½=GP64@Hash mean,Ver3½=GP64@Hash max,Ver3½=GP256@Hash min,Ver3½=GP256@Hash mean,Ver3½=GP256@Hash max,Ver1@hashbrown min,Ver1@hashbrown mean,Ver1@hashbrown max,Ver1½@hashbrown min,Ver1½@hashbrown mean,Ver1½@hashbrown max,Ver2-GP@hashbrown min,Ver2-GP@hashbrown mean,Ver2-GP@hashbrown max,Ver2½@hashbrown min,Ver2½@hashbrown mean,Ver2½@hashbrown max,Ver2½-GP@hashbrown min,Ver2½-GP@hashbrown mean,Ver2½-GP@hashbrown max,Ver2½-GPX@hashbrown min,Ver2½-GPX@hashbrown mean,Ver2½-GPX@hashbrown max,Ver2½-RP@hashbrown min,Ver2½-RP@hashbrown mean,Ver2½-RP@hashbrown max,Ver3½-GP@hashbrown min,Ver3½-GP@hashbrown mean,Ver3½-GP@hashbrown max,Ver3½-GPX@hashbrown min,Ver3½-GPX@hashbrown mean,Ver3½-GPX@hashbrown max,Ver3½=GP1@hashbrown min,Ver3½=GP1@hashbrown mean,Ver3½=GP1@hashbrown max,Ver3½=GP4@hashbrown min,Ver3½=GP4@hashbrown mean,Ver3½=GP4@hashbrown max,Ver3½=GP5@hashbrown min,Ver3½=GP5@hashbrown mean,Ver3½=GP5@hashbrown max,Ver3½=GP6@hashbrown min,Ver3½=GP6@hashbrown mean,Ver3½=GP6@hashbrown max,Ver3½=GP8@hashbrown min,Ver3½=GP8@hashbrown mean,Ver3½=GP8@hashbrown max,Ver3½=GP16@hashbrown min,Ver3½=GP16@hashbrown mean,Ver3½=GP16@hashbrown max,Ver3½=GP64@hashbrown min,Ver3½=GP64@hashbrown mean,Ver3½=GP64@hashbrown max,Ver3½=GP256@hashbrown min,Ver3½=GP256@hashbrown mean,Ver3½=GP256@hashbrown max,Ver1@fnv min,Ver1@fnv mean,Ver1@fnv max,Ver1½@fnv min,Ver1½@fnv mean,Ver1½@fnv max,Ver2-GP@fnv min,Ver2-GP@fnv mean,Ver2-GP@fnv max,Ver2½@fnv min,Ver2½@fnv mean,Ver2½@fnv max,Ver2½-GP@fnv min,Ver2½-GP@fnv mean,Ver2½-GP@fnv max,Ver2½-GPX@fnv min,Ver2½-GPX@fnv mean,Ver2½-GPX@fnv max,Ver2½-RP@fnv min,Ver2½-RP@fnv mean,Ver2½-RP@fnv max,Ver3½-GP@fnv min,Ver3½-GP@fnv mean,Ver3½-GP@fnv max,Ver3½-GPX@fnv min,Ver3½-GPX@fnv mean,Ver3½-GPX@fnv max,Ver3½=GP1@fnv min,Ver3½=GP1@fnv mean,Ver3½=GP1@fnv max,Ver3½=GP4@fnv min,Ver3½=GP4@fnv mean,Ver3½=GP4@fnv max,Ver3½=GP5@fnv min,Ver3½=GP5@fnv mean,Ver3½=GP5@fnv max,Ver3½=GP6@fnv min,Ver3½=GP6@fnv mean,Ver3½=GP6@fnv max,Ver3½=GP8@fnv min,Ver3½=GP8@fnv mean,Ver3½=GP8@fnv max,Ver3½=GP16@fnv min,Ver3½=GP16@fnv mean,Ver3½=GP16@fnv max,Ver3½=GP64@fnv min,Ver3½=GP64@fnv mean,Ver3½=GP64@fnv max,Ver3½=GP256@fnv min,Ver3½=GP256@fnv mean,Ver3½=GP256@fnv max,Ver1@BTree min,Ver1@BTree mean,Ver1@BTree max,Ver1½@BTree min,Ver1½@BTree mean,Ver1½@BTree max,Ver2-GP@BTree min,Ver2-GP@BTree mean,Ver2-GP@BTree max,Ver2½@BTree min,Ver2½@BTree mean,Ver2½@BTree max,Ver2½-GP@BTree min,Ver2½-GP@BTree mean,Ver2½-GP@BTree max,Ver2½-GPX@BTree min,Ver2½-GPX@BTree mean,Ver2½-GPX@BTree max,Ver2½-RP@BTree min,Ver2½-RP@BTree mean,Ver2½-RP@BTree max,Ver3½-GP@BTree min,Ver3½-GP@BTree mean,Ver3½-GP@BTree max,Ver3½-GPX@BTree min,Ver3½-GPX@BTree mean,Ver3½-GPX@BTree max,Ver3½=GP1@BTree min,Ver3½=GP1@BTree mean,Ver3½=GP1@BTree max,Ver3½=GP4@BTree min,Ver3½=GP4@BTree mean,Ver3½=GP4@BTree max,Ver3½=GP5@BTree min,Ver3½=GP5@BTree mean,Ver3½=GP5@BTree max,Ver3½=GP6@BTree min,Ver3½=GP6@BTree mean,Ver3½=GP6@BTree max,Ver3½=GP8@BTree min,Ver3½=GP8@BTree mean,Ver3½=GP8@BTree max,Ver3½=GP16@BTree min,Ver3½=GP16@BTree mean,Ver3½=GP16@BTree max,Ver3½=GP64@BTree min,Ver3½=GP64@BTree mean,Ver3½=GP64@BTree max,Ver3½=GP256@BTree min,Ver3½=GP256@BTree mean,Ver3½=GP256@BTree max,Ver1@ord_vec min,Ver1@ord_vec mean,Ver1@ord_vec max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2-GP@ord_vec min,Ver2-GP@ord_vec mean,Ver2-GP@ord_vec max,Ver2½@ord_vec min,Ver2½@ord_vec mean,Ver2½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver2½-RP@ord_vec min,Ver2½-RP@ord_vec mean,Ver2½-RP@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max,Ver3½=GP1@ord_vec min,Ver3½=GP1@ord_vec mean,Ver3½=GP1@ord_vec max,Ver3½=GP4@ord_vec min,Ver3½=GP4@ord_vec mean,Ver3½=GP4@ord_vec max,Ver3½=GP5@ord_vec min,Ver3½=GP5@ord_vec mean,Ver3½=GP5@ord_vec max,Ver3½=GP6@ord_vec min,Ver3½=GP6@ord_vec mean,Ver3½=GP6@ord_vec max,Ver3½=GP8@ord_vec min,Ver3½=GP8@ord_vec mean,Ver3½=GP8@ord_vec max,Ver3½=GP16@ord_vec min,Ver3½=GP16@ord_vec mean,Ver3½=GP16@ord_vec max,Ver3½=GP64@ord_vec min,Ver3½=GP64@ord_vec mean,Ver3½=GP64@ord_vec max,Ver3½=GP256@ord_vec min,Ver3½=GP256@ord_vec mean,Ver3½=GP256@ord_vec max
2000,0.0195065,0.019703879952430725,0.0203081,0.013449,0.01355834025889635,0.013611,0.0086916,0.008820519968867301,0.0089768,0.0080325,0.008235820010304451,0.0083937,0.0085781,0.008740240149199963,0.0091255,0.0090057,0.009164080023765564,0.0094815,0.0090879,0.0092476399615407,0.0094539,0.0086508,0.008753740042448045,0.008853,0.0098347,0.009928360022604466,0.0100008,0.0091463,0.009259280189871788,0.0093904,0.0027895,0.00293574002571404,0.0030312,0.0023649,0.0025102599523961545,0.0026927,0.0022844,0.002399259991943836,0.0025304,0.0021179,0.00233236001804471,0.0024526,0.0030263,0.003127059992402792,0.003234,0.0060342,0.006475020013749599,0.006729,0.0160324,0.01626501977443695,0.0163697,,,,0.0102437,0.010476220212876797,0.0105507,,,,,,,0.0060683,0.006200100015848875,0.0062703,,,,,,,0.0063011,0.006435419991612434,0.0065217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0120742,0.012190959975123405,0.0123246,,,,,,,0.0080698,0.00824254024773836,0.0084741,,,,,,,0.008042,0.008162040077149869,0.0082524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01972,0.01984065994620323,0.0198936,,,,,,,0.013843,0.013956540264189243,0.0140481,,,,,,,0.0141818,0.014302420057356357,0.0144478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0087735,0.009001040086150169,0.0092649,,,,,,,0.0054589,0.005535000003874302,0.0055732,,,,,,,0.0054686,0.005578320007771254,0.0056644,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,0.0227162,0.023418720066547393,0.0243782,0.0158363,0.016361840069293976,0.0171362,0.0101291,0.010741259902715683,0.0117771,0.0096648,0.01006614025682211,0.0111974,0.0100645,0.010431339964270592,0.0113825,0.010671,0.010900859907269477,0.0116201,0.010474,0.010875000059604645,0.0118087,0.0102097,0.010244200192391872,0.0102679,0.0114294,0.011451260000467301,0.0114898,0.0105212,0.010617600008845329,0.0106634,0.0030337,0.0032365200109779834,0.003377,0.0026469,0.002791379997506738,0.0029437,0.0024201,0.0026132000144571065,0.0029329,0.0024412,0.002638239972293377,0.0030383,0.0030993,0.003266800008714199,0.0034539,0.0064617,0.006898320000618696,0.0076768,0.0163451,0.016709040477871896,0.0174933,,,,0.0120675,0.01220415998250246,0.0122582,,,,,,,0.0070928,0.007179680000990629,0.0072403,,,,,,,0.0071225,0.007291779946535825,0.0074151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137264,0.01395334005355835,0.0142882,,,,,,,0.0092717,0.009363740123808384,0.0094413,,,,,,,0.0089037,0.009015459939837456,0.0091456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0225462,0.02285338006913662,0.0231144,,,,,,,0.015483,0.01571629997342825,0.0158396,,,,,,,0.0162202,0.01665584072470665,0.0179303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0101341,0.010307160019874573,0.0106171,,,,,,,0.0061022,0.006297980062663555,0.0064444,,,,,,,0.0061594,0.006367400009185076,0.0065576,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,0.0263956,0.026737740263342857,0.0269693,0.0183171,0.01843467988073826,0.0185539,0.0114721,0.011609060131013394,0.0117138,0.0110175,0.011218000017106534,0.01185,0.0114887,0.011658520065248012,0.0120342,0.0118782,0.011902880109846591,0.0119377,0.011553,0.011856699921190738,0.0123448,0.0113647,0.011474820040166377,0.011545,0.0125039,0.012741239741444588,0.0128811,0.011747,0.011929900012910366,0.0121062,0.0034335,0.0036888199392706156,0.004032,0.0030629,0.0031574399676173926,0.0033809,0.002469,0.002660819934681058,0.0027516,0.0027977,0.0030140799935907125,0.0032498,0.0034601,0.003640239965170622,0.0042382,0.0069526,0.007284940034151077,0.0081091,0.017333,0.017800500243902208,0.0184508,,,,0.0141065,0.014297280088067054,0.0148881,,,,,,,0.0081565,0.008319819904863834,0.0088639,,,,,,,0.0081182,0.00824624001979828,0.0082893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0163327,0.016636020317673684,0.0172816,,,,,,,0.01075,0.010885520093142986,0.0112869,,,,,,,0.0103135,0.01060905996710062,0.0110643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0265709,0.02728886008262634,0.0288969,,,,,,,0.0179641,0.01820712015032768,0.0183961,,,,,,,0.0185599,0.01869375966489315,0.0190737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119723,0.012130999937653542,0.0123342,,,,,,,0.0069825,0.007116379961371422,0.0073804,,,,,,,0.0070711,0.007131980080157518,0.0071557,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,0.0317774,0.03241651952266693,0.03325,0.0216317,0.021937520429491996,0.0221161,0.0132205,0.013593980111181736,0.0140076,0.0128631,0.01300989966839552,0.0131886,0.0133643,0.0134195601567626,0.0135299,0.0137377,0.013807499967515468,0.0138805,0.0135023,0.013802639953792096,0.0141464,0.0133429,0.013436580076813698,0.0137058,0.0147576,0.01480903998017311,0.0148519,0.0136608,0.013800219818949699,0.0139673,0.0039122,0.00410490008071065,0.0042765,0.0033359,0.0034621399827301502,0.0037968,0.0029247,0.0031605400145053864,0.0032779,0.0029707,0.003176459949463606,0.0033053,0.003354,0.003673340007662773,0.0042617,0.0070371,0.007388000097125769,0.007734,0.0170553,0.018122339621186256,0.0184923,,,,0.0168227,0.01702462024986744,0.0177634,,,,,,,0.0093907,0.009517440013587475,0.0096898,,,,,,,0.009372,0.00939661990851164,0.009423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0189607,0.019303859770298006,0.0194664,,,,,,,0.0119609,0.012309020198881627,0.0128298,,,,,,,0.011658,0.011778599955141545,0.0120473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0310368,0.03137497939169407,0.0322923,,,,,,,0.0203867,0.02066374011337757,0.020974,,,,,,,0.0207165,0.020901139825582504,0.0214569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140961,0.014220460131764413,0.0143862,,,,,,,0.0079708,0.008082399889826775,0.0082558,,,,,,,0.0078865,0.007985040172934532,0.0083269,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,0.0381257,0.03888322040438652,0.0403177,0.0261857,0.02644244022667408,0.0269447,0.0150101,0.015171059966087341,0.0154416,0.0144962,0.01470854002982378,0.0148572,0.0149195,0.014990419894456864,0.0150633,0.0151608,0.015509199909865856,0.0157897,0.0154545,0.01600017976015806,0.0166338,0.0149467,0.015153620019555092,0.015334,0.0164671,0.016674439981579782,0.0170248,0.015222,0.01530503984540701,0.0153767,0.0049728,0.005051800049841404,0.0051825,0.0038008,0.003936519986018539,0.0041234,0.0034709,0.0035168400034308435,0.0035784,0.0034346,0.0036392599809914826,0.0037315,0.0040838,0.004384939931333065,0.0045463,0.00803,0.008395620062947274,0.0087583,0.018856,0.02007969990372658,0.0211482,,,,0.0199262,0.02038322016596794,0.0212066,,,,,,,0.0104727,0.010619859956204892,0.0107723,,,,,,,0.0108076,0.010971699841320515,0.0111115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229949,0.023926820233464242,0.0265038,,,,,,,0.013624,0.013742719963192939,0.013875,,,,,,,0.0133987,0.013524699956178665,0.0136253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03761,0.03801742121577263,0.0383922,,,,,,,0.0235117,0.023657499998807906,0.0238502,,,,,,,0.0240949,0.024283839762210845,0.0246777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0170531,0.017196299508213997,0.0174094,,,,,,,0.0090186,0.0091585798189044,0.0095181,,,,,,,0.0092047,0.009255319833755493,0.0093166,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,0.0470117,0.04747546017169953,0.0478722,0.0319388,0.03220038041472435,0.0325757,0.0170639,0.017149220407009124,0.0172681,0.0169812,0.017182479798793792,0.017399,0.0169146,0.017021799832582472,0.0171875,0.0171721,0.017372440174221994,0.0175764,0.018508,0.018963240087032318,0.0194232,0.0171315,0.01739857979118824,0.0177213,0.0187204,0.019006839767098428,0.0192652,0.0174965,0.01765984036028385,0.017896,0.0051031,0.005401779897511005,0.0056807,0.0041244,0.004278420004993677,0.0043869,0.003576,0.0037949999328702687,0.003921,0.0038609,0.004054420115426183,0.0043012,0.0046075,0.004851359967142343,0.0053991,0.0077868,0.008505080081522464,0.0092347,0.0197825,0.020166699960827827,0.0205191,,,,0.024202,0.02440992034971714,0.0247447,,,,,,,0.0120021,0.012083479948341847,0.0121578,,,,,,,0.0121761,0.012372560054063796,0.0125392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0278175,0.028476059809327124,0.0297929,,,,,,,0.0154278,0.015647559985518457,0.0159736,,,,,,,0.015638,0.0157168198376894,0.0158272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0457887,0.046483641117811204,0.046886,,,,,,,0.0269521,0.027177340164780617,0.0278588,,,,,,,0.0276748,0.02784139961004257,0.0282359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0209285,0.021049899980425835,0.0212327,,,,,,,0.0103128,0.01047603990882635,0.0106513,,,,,,,0.0104138,0.010965380072593688,0.0124517,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,0.0554573,0.055865660309791565,0.0562227,0.0368502,0.03722352012991905,0.0376008,0.0195908,0.01971632018685341,0.019983,0.0193843,0.019769439846277236,0.0201644,0.0190733,0.019565900042653083,0.0208651,0.0193976,0.019804679974913596,0.0206512,0.0212524,0.021572979912161828,0.0223512,0.0194854,0.019861919805407524,0.0204322,0.0214531,0.022065480053424836,0.0231961,0.0198191,0.020302819833159447,0.0206409,0.0058467,0.006218580063432455,0.0064294,0.0047833,0.0049716800451278685,0.0051833,0.0041143,0.004377739876508713,0.0045334,0.0039532,0.004271959979087114,0.004406,0.0048977,0.005277280043810606,0.0057894,0.0083723,0.008724400214850903,0.0091126,0.0197426,0.020146820321679117,0.0208755,,,,0.02944,0.029661739990115166,0.0298777,,,,,,,0.014308,0.014543040096759796,0.0147275,,,,,,,0.0148205,0.014919320121407509,0.0150834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325442,0.03269170001149178,0.0328659,,,,,,,0.0176203,0.01783210039138794,0.0181447,,,,,,,0.0178577,0.017976200208067894,0.0181608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0539923,0.05453282073140144,0.0555417,,,,,,,0.0317303,0.032095660269260404,0.0328164,,,,,,,0.0328225,0.033020340651273725,0.0333805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0244802,0.024628780037164687,0.024788,,,,,,,0.0118985,0.012051760032773019,0.0121696,,,,,,,0.012018,0.012167240120470523,0.0122825,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,0.0670721,0.06775905936956406,0.0684036,0.0449846,0.04537482038140297,0.0460437,0.0230242,0.02334463968873024,0.0236415,0.0235192,0.023810819908976554,0.0242955,0.0229262,0.02299997992813587,0.0230652,0.0228205,0.02313128039240837,0.0235113,0.0255122,0.026231539994478227,0.0270149,0.0226302,0.022988180071115492,0.0232385,0.024342,0.024595020338892937,0.02486,0.0236271,0.02460066005587578,0.0260996,0.0066192,0.006953659933060408,0.0072178,0.0054122,0.005576680041849613,0.0057203,0.0047434,0.004943600017577409,0.0051473,0.0048251,0.005059360060840845,0.0052435,0.0050222,0.005411320086568594,0.0061106,0.0087652,0.009268900193274022,0.0100896,0.020181,0.0206631600856781,0.0212093,,,,0.0345042,0.034772460162639615,0.0351443,,,,,,,0.0162506,0.016382059827446938,0.0165031,,,,,,,0.0164102,0.01653898023068905,0.0167017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0395844,0.0399436391890049,0.0405011,,,,,,,0.0210973,0.021324200183153154,0.0217252,,,,,,,0.0204359,0.020923160016536713,0.0213578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648048,0.06578267961740494,0.066232,,,,,,,0.0365274,0.03714065998792648,0.038997,,,,,,,0.037088,0.037563979625701904,0.0379243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0291506,0.02954414002597332,0.029853,,,,,,,0.0138506,0.01416466012597084,0.0144872,,,,,,,0.0138138,0.014128519967198373,0.0142827,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,0.0823907,0.08304981887340546,0.0838085,0.0547757,0.054903899878263475,0.0551936,0.0266317,0.02677486017346382,0.0269357,0.0264563,0.02701440006494522,0.0283016,0.0264057,0.026874560117721557,0.0280328,0.025778,0.026081600040197373,0.0262523,0.0285611,0.02971322014927864,0.0306345,0.0261728,0.026604479923844338,0.0268913,0.0278109,0.02832000032067299,0.0287417,0.0270595,0.027501699700951576,0.0282834,0.0077205,0.008097520098090172,0.0087417,0.0059267,0.006337139941751957,0.0067358,0.0055751,0.005742540117353201,0.006266,0.0056307,0.00578545993193984,0.0059438,0.0057323,0.005974780023097992,0.0064457,0.0091118,0.010028140246868133,0.0104016,0.0210675,0.021881619840860365,0.0227723,,,,0.0420154,0.042788060009479524,0.0433763,,,,,,,0.0191153,0.019376780092716216,0.0195863,,,,,,,0.0197511,0.01994517967104912,0.0201518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0481381,0.04870430082082748,0.0495892,,,,,,,0.0240357,0.024168059602379798,0.0243528,,,,,,,0.023366,0.023578180000185966,0.0238104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799953,0.0804111823439598,0.081006706,,,,,,,0.0424056,0.04262603968381882,0.0429012,,,,,,,0.0428457,0.0434997595846653,0.0457046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352616,0.03562217950820923,0.0361166,,,,,,,0.015947,0.016168639808893204,0.0164181,,,,,,,0.0160713,0.016224499419331552,0.0164801,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,0.09860951,0.09974994212388992,0.1004824,0.0648254,0.06553405970335006,0.0663213,0.0302544,0.030461500212550164,0.0310407,0.0307235,0.03098289929330349,0.0312818,0.0295783,0.0302828598767519,0.0323013,0.0293351,0.03000749982893467,0.0322228,0.033962,0.035115039348602294,0.0369403,0.0295811,0.030516500025987624,0.0314897,0.0316493,0.03221215978264809,0.032722,0.0303964,0.030683840066194533,0.0308703,0.0082448,0.008571960031986237,0.0089994,0.0069451,0.007020200043916703,0.007128,0.0057711,0.005983819998800754,0.0063167,0.0060177,0.006408479996025562,0.0069864,0.0061792,0.00646702004596591,0.0066621,0.0097456,0.010088839940726757,0.0102595,0.0213876,0.022117719799280167,0.0230187,,,,0.0499851,0.0508294403553009,0.0515877,,,,,,,0.021706,0.021784060075879096,0.0218681,,,,,,,0.0215611,0.021936479955911636,0.0225054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0566304,0.056983599066734315,0.0574152,,,,,,,0.0277459,0.027887780219316483,0.0279968,,,,,,,0.0271648,0.02735138013958931,0.0275269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094946094,0.09579971730709076,0.0974578,,,,,,,0.0493437,0.04988484010100365,0.0508614,,,,,,,0.0499564,0.050388219952583316,0.05112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0421292,0.04245717898011207,0.0427758,,,,,,,0.0185701,0.018662040308117866,0.0188611,,,,,,,0.0183704,0.018505819886922837,0.0188249,,,,,,,,,,,,,,,,,,,,,,,,,,,
