Size,Ver1@Hash min,Ver1@Hash mean,Ver1@Hash max,Ver1½@Hash min,Ver1½@Hash mean,Ver1½@Hash max,Ver2-GP@Hash min,Ver2-GP@Hash mean,Ver2-GP@Hash max,Ver2½@Hash min,Ver2½@Hash mean,Ver2½@Hash max,Ver2½-GP@Hash min,Ver2½-GP@Hash mean,Ver2½-GP@Hash max,Ver2½-GPX@Hash min,Ver2½-GPX@Hash mean,Ver2½-GPX@Hash max,Ver2½-RP@Hash min,Ver2½-RP@Hash mean,Ver2½-RP@Hash max,Ver3½-GP@Hash min,Ver3½-GP@Hash mean,Ver3½-GP@Hash max,Ver3½-GPX@Hash min,Ver3½-GPX@Hash mean,Ver3½-GPX@Hash max,Ver3½=GP1@Hash min,Ver3½=GP1@Hash mean,Ver3½=GP1@Hash max,Ver3½=GP4@Hash min,Ver3½=GP4@Hash mean,Ver3½=GP4@Hash max,Ver3½=GP5@Hash min,Ver3½=GP5@Hash mean,Ver3½=GP5@Hash max,Ver3½=GP6@Hash min,Ver3½=GP6@Hash mean,Ver3½=GP6@Hash max,Ver3½=GP8@Hash min,Ver3½=GP8@Hash mean,Ver3½=GP8@Hash max,Ver3½=GP16@Hash min,Ver3½=GP16@Hash mean,Ver3½=GP16@Hash max,Ver3½=GP64@Hash min,Ver3½=GP64@Hash mean,Ver3½=GP64@Hash max,Ver3½=GP256@Hash min,Ver3½=GP256@Hash mean,Ver3½=GP256@Hash max,Ver1@hashbrown min,Ver1@hashbrown mean,Ver1@hashbrown max,Ver1½@hashbrown min,Ver1½@hashbrown mean,Ver1½@hashbrown max,Ver2-GP@hashbrown min,Ver2-GP@hashbrown mean,Ver2-GP@hashbrown max,Ver2½@hashbrown min,Ver2½@hashbrown mean,Ver2½@hashbrown max,Ver2½-GP@hashbrown min,Ver2½-GP@hashbrown mean,Ver2½-GP@hashbrown max,Ver2½-GPX@hashbrown min,Ver2½-GPX@hashbrown mean,Ver2½-GPX@hashbrown max,Ver2½-RP@hashbrown min,Ver2½-RP@hashbrown mean,Ver2½-RP@hashbrown max,Ver3½-GP@hashbrown min,Ver3½-GP@hashbrown mean,Ver3½-GP@hashbrown max,Ver3½-GPX@hashbrown min,Ver3½-GPX@hashbrown mean,Ver3½-GPX@hashbrown max,Ver3½=GP1@hashbrown min,Ver3½=GP1@hashbrown mean,Ver3½=GP1@hashbrown max,Ver3½=GP4@hashbrown min,Ver3½=GP4@hashbrown mean,Ver3½=GP4@hashbrown max,Ver3½=GP5@hashbrown min,Ver3½=GP5@hashbrown mean,Ver3½=GP5@hashbrown max,Ver3½=GP6@hashbrown min,Ver3½=GP6@hashbrown mean,Ver3½=GP6@hashbrown max,Ver3½=GP8@hashbrown min,Ver3½=GP8@hashbrown mean,Ver3½=GP8@hashbrown max,Ver3½=GP16@hashbrown min,Ver3½=GP16@hashbrown mean,Ver3½=GP16@hashbrown max,Ver3½=GP64@hashbrown min,Ver3½=GP64@hashbrown mean,Ver3½=GP64@hashbrown max,Ver3½=GP256@hashbrown min,Ver3½=GP256@hashbrown mean,Ver3½=GP256@hashbrown max,Ver1@fnv min,Ver1@fnv mean,Ver1@fnv max,Ver1½@fnv min,Ver1½@fnv mean,Ver1½@fnv max,Ver2-GP@fnv min,Ver2-GP@fnv mean,Ver2-GP@fnv max,Ver2½@fnv min,Ver2½@fnv mean,Ver2½@fnv max,Ver2½-GP@fnv min,Ver2½-GP@fnv mean,Ver2½-GP@fnv max,Ver2½-GPX@fnv min,Ver2½-GPX@fnv mean,Ver2½-GPX@fnv max,Ver2½-RP@fnv min,Ver2½-RP@fnv mean,Ver2½-RP@fnv max,Ver3½-GP@fnv min,Ver3½-GP@fnv mean,Ver3½-GP@fnv max,Ver3½-GPX@fnv min,Ver3½-GPX@fnv mean,Ver3½-GPX@fnv max,Ver3½=GP1@fnv min,Ver3½=GP1@fnv mean,Ver3½=GP1@fnv max,Ver3½=GP4@fnv min,Ver3½=GP4@fnv mean,Ver3½=GP4@fnv max,Ver3½=GP5@fnv min,Ver3½=GP5@fnv mean,Ver3½=GP5@fnv max,Ver3½=GP6@fnv min,Ver3½=GP6@fnv mean,Ver3½=GP6@fnv max,Ver3½=GP8@fnv min,Ver3½=GP8@fnv mean,Ver3½=GP8@fnv max,Ver3½=GP16@fnv min,Ver3½=GP16@fnv mean,Ver3½=GP16@fnv max,Ver3½=GP64@fnv min,Ver3½=GP64@fnv mean,Ver3½=GP64@fnv max,Ver3½=GP256@fnv min,Ver3½=GP256@fnv mean,Ver3½=GP256@fnv max,Ver1@BTree min,Ver1@BTree mean,Ver1@BTree max,Ver1½@BTree min,Ver1½@BTree mean,Ver1½@BTree max,Ver2-GP@BTree min,Ver2-GP@BTree mean,Ver2-GP@BTree max,Ver2½@BTree min,Ver2½@BTree mean,Ver2½@BTree max,Ver2½-GP@BTree min,Ver2½-GP@BTree mean,Ver2½-GP@BTree max,Ver2½-GPX@BTree min,Ver2½-GPX@BTree mean,Ver2½-GPX@BTree max,Ver2½-RP@BTree min,Ver2½-RP@BTree mean,Ver2½-RP@BTree max,Ver3½-GP@BTree min,Ver3½-GP@BTree mean,Ver3½-GP@BTree max,Ver3½-GPX@BTree min,Ver3½-GPX@BTree mean,Ver3½-GPX@BTree max,Ver3½=GP1@BTree min,Ver3½=GP1@BTree mean,Ver3½=GP1@BTree max,Ver3½=GP4@BTree min,Ver3½=GP4@BTree mean,Ver3½=GP4@BTree max,Ver3½=GP5@BTree min,Ver3½=GP5@BTree mean,Ver3½=GP5@BTree max,Ver3½=GP6@BTree min,Ver3½=GP6@BTree mean,Ver3½=GP6@BTree max,Ver3½=GP8@BTree min,Ver3½=GP8@BTree mean,Ver3½=GP8@BTree max,Ver3½=GP16@BTree min,Ver3½=GP16@BTree mean,Ver3½=GP16@BTree max,Ver3½=GP64@BTree min,Ver3½=GP64@BTree mean,Ver3½=GP64@BTree max,Ver3½=GP256@BTree min,Ver3½=GP256@BTree mean,Ver3½=GP256@BTree max,Ver1@ord_vec min,Ver1@ord_vec mean,Ver1@ord_vec max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2-GP@ord_vec min,Ver2-GP@ord_vec mean,Ver2-GP@ord_vec max,Ver2½@ord_vec min,Ver2½@ord_vec mean,Ver2½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver2½-RP@ord_vec min,Ver2½-RP@ord_vec mean,Ver2½-RP@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max,Ver3½=GP1@ord_vec min,Ver3½=GP1@ord_vec mean,Ver3½=GP1@ord_vec max,Ver3½=GP4@ord_vec min,Ver3½=GP4@ord_vec mean,Ver3½=GP4@ord_vec max,Ver3½=GP5@ord_vec min,Ver3½=GP5@ord_vec mean,Ver3½=GP5@ord_vec max,Ver3½=GP6@ord_vec min,Ver3½=GP6@ord_vec mean,Ver3½=GP6@ord_vec max,Ver3½=GP8@ord_vec min,Ver3½=GP8@ord_vec mean,Ver3½=GP8@ord_vec max,Ver3½=GP16@ord_vec min,Ver3½=GP16@ord_vec mean,Ver3½=GP16@ord_vec max,Ver3½=GP64@ord_vec min,Ver3½=GP64@ord_vec mean,Ver3½=GP64@ord_vec max,Ver3½=GP256@ord_vec min,Ver3½=GP256@ord_vec mean,Ver3½=GP256@ord_vec max
10000,,,,,,,0.0038121,0.003846466696510712,0.0038795,0.002528,0.002546166613077124,0.0025602,0.0022336,0.002249033267920216,0.0022635,0.0022562,0.0022758000219861665,0.0023084,0.0034082,0.0035038667265325785,0.003641,0.0020049,0.0020501666391889253,0.0020799,0.001998,0.002029833383858204,0.0020783,0.002997,0.003315866691991687,0.0038399,0.0035655,0.0037046666257083416,0.0037987,0.0036642,0.003763566647345821,0.0039271,0.0034985,0.003786899925520023,0.0040212,0.0037472,0.003913666664933165,0.0040181,0.0038809,0.0041301999396334095,0.0045664,0.0058886,0.006124899877856175,0.0065554,0.0168198,0.017072366550564766,0.0172089,,,,,,,0.0027379,0.0029075332762052617,0.0031191,,,,0.0019063,0.0019687666402508817,0.0020623,,,,,,,0.0021031,0.002112166645626227,0.0021191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030141,0.0030198333164056144,0.0030266,,,,0.0018962,0.0019074666391437252,0.001919,,,,,,,0.0017038,0.0017313000280410051,0.0017756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064718,0.00653580001865824,0.0066322,,,,0.0026362,0.002755366653824846,0.0029082,,,,,,,0.0016885,0.0017880333665137489,0.0018408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040755,0.0041673666176696616,0.004351,,,,0.0011634,0.0011976333723093073,0.0012601,,,,,,,0.0014152,0.0015458333073183894,0.0016768,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,,,,,,,0.0067321,0.007036666696270307,0.0072075,0.005128,0.005356999890257915,0.0056804,0.00436,0.004807633347809315,0.005349,0.0044191,0.0046348666461805505,0.0050365,0.0064711,0.0067114331759512424,0.006954,0.0040433,0.0040824334137141705,0.0041375,0.0040527,0.004208300107469161,0.0044141,0.0040541,0.0042458999281128245,0.0044841,0.00437,0.00443496663744251,0.0044945,0.004642,0.004772566724568605,0.0048997,0.0046275,0.0048872334882617,0.0051167,0.0046182,0.004706766611586015,0.0047783,0.0047035,0.026965464775760967,0.071247295,0.0056584,0.0059647331945598125,0.0062698,0.018307,0.0186712338278691,0.0191622,,,,,,,0.0045497,0.004626466582218806,0.0047571,,,,0.0030991,0.0031119666527956724,0.0031292,,,,,,,0.0032873,0.003309166602169474,0.0033335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051751,0.005255166751643022,0.0052977,,,,0.0035529,0.00367679997968177,0.0037389,,,,,,,0.0033671,0.00337699994755288,0.0033949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0114175,0.011472666325668493,0.0115629,,,,0.0045498,0.004569866694509983,0.0045833,,,,,,,0.0037045,0.0037174332731713853,0.003727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071398,0.0073286667466163635,0.0074382,,,,0.0021706,0.002278566670914491,0.0023358,,,,,,,0.0026899,0.0027725667071839175,0.0028142,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,,,,,,,0.0098663,0.010042500061293444,0.0102076,0.0084242,0.008888133491079012,0.0094827,0.0068998,0.007299100048840046,0.007835,0.0070259,0.008546366511533657,0.0099156,0.0106055,0.011051600178082785,0.0113024,0.0056859,0.006465466537823279,0.0077524,0.0058097,0.0069406999585529166,0.0081354,0.0051162,0.005319433442006509,0.0055189,0.0048042,0.005064666736871004,0.0054012,0.0049474,0.00510736679037412,0.0054063,0.0049763,0.0065013001052041846,0.0090872,0.0049792,0.005108933430165052,0.0053636,0.0052005,0.005731933439771335,0.006519,0.0063356,0.006597433239221573,0.0068746,0.0193996,0.02294193332393964,0.0276862,,,,,,,0.0063945,0.006515266684194406,0.0067085,,,,0.004423,0.004525233370562394,0.0046445,,,,,,,0.0044089,0.004488833403835694,0.004572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073976,0.007601199982066949,0.0077158,,,,0.0053477,0.005366333294659853,0.0053883,,,,,,,0.0046003,0.004645733317981164,0.0047014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0168331,0.017027766754229862,0.0172363,,,,0.0066972,0.007060499861836433,0.0075338,,,,,,,0.0055297,0.00583496658752362,0.0063469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009082,0.009556899778544903,0.0100101,,,,0.003224,0.0033294000507642827,0.0034837,,,,,,,0.0035984,0.0037501666229218245,0.0038433,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000,,,,,,,0.0128776,0.013931800300876299,0.0157242,0.0107136,0.011667033036549887,0.0131854,0.0093603,0.010127266868948936,0.0113987,0.0095083,0.010027066494027773,0.0110574,0.0128919,0.01584099978208542,0.0184102,0.0074423,0.009777566728492578,0.0121918,0.0074708,0.008970399852842093,0.010205,0.0062078,0.007585433311760426,0.009415,0.0056521,0.005970299864808719,0.0066054,0.005546,0.005798266579707463,0.0061425,0.0057942,0.0058459000041087466,0.0059473,0.0055423,0.005982166777054469,0.0063683,0.0058643,0.006764033188422521,0.0082509,0.0078557,0.008292033337056637,0.0088738,0.0207236,0.021377767125765484,0.0222523,,,,,,,0.008437,0.008752300093571344,0.00926,,,,0.0058188,0.006016933359205723,0.0061789,,,,,,,0.0053088,0.005369433201849461,0.0054725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009711,0.009762933167318502,0.0098167,,,,0.0073018,0.007319566638519366,0.0073315,,,,,,,0.0056622,0.00571103331943353,0.0057845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02258,0.022599633162220318,0.0226378,,,,0.0093141,0.009433033565680185,0.009583,,,,,,,0.0079121,0.007996733610828718,0.0081521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01148,0.011564799894889196,0.0116523,,,,0.0044862,0.004539799876511097,0.0046447,,,,,,,0.0046133,0.004639533348381519,0.0046692,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,,,,,,,0.01651,0.016780933365225792,0.0169595,0.0136295,0.014139866766830286,0.0148943,0.0122949,0.013427733133236567,0.0151729,0.0123648,0.014163033726314703,0.016264,0.0159582,0.01703576681514581,0.017743,0.0094131,0.009706966578960419,0.0101652,0.0093924,0.009515566751360893,0.0096916,0.0074796,0.0077653001062572,0.0079566,0.0060028,0.006059900081406037,0.0061383,0.0058452,0.006043366622179747,0.0061988,0.0060818,0.006145899960150321,0.0062657,0.0064948,0.00655750014508764,0.0066256,0.0062989,0.006396499928086996,0.0065657,0.0070299,0.007475799725701411,0.0080283,0.0199183,0.020051132887601852,0.0202179,,,,,,,0.0103299,0.01050770003348589,0.0106336,,,,0.0074871,0.007513766797880332,0.0075372,,,,,,,0.0063347,0.006414300141235192,0.0064984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121102,0.01219156663864851,0.0122756,,,,0.0094543,0.009666200106342634,0.0100212,,,,,,,0.0069531,0.007034166716039181,0.0071548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0296195,0.031984166552623115,0.0345766,,,,0.0139143,0.014351700122157732,0.014843,,,,,,,0.0120263,0.01228889978180329,0.0124216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013812,0.014526666762928167,0.015805,,,,0.0058639,0.005980000055084626,0.006202,,,,,,,0.00588,0.006030500090370576,0.0063291,,,,,,,,,,,,,,,,,,,,,,,,,,,
60000,,,,,,,0.020076,0.020467666288216908,0.0207923,0.0175321,0.01773760033150514,0.0180571,0.0156583,0.01629350023965041,0.0168597,0.0158591,0.015880199770132702,0.015901,0.01934,0.019549433141946793,0.0196544,0.0116031,0.011744966730475426,0.011917,0.0117651,0.011924166853229204,0.0122343,0.0092552,0.009477832975486914,0.00979,0.0064114,0.0064762999924520654,0.0065431,0.0065557,0.006801266688853502,0.0070553,0.0066398,0.006761833404501279,0.0068715,0.0066464,0.006717466594030459,0.0067702,0.0066639,0.007272066703687112,0.0080318,0.0078944,0.008254199909667173,0.0084357,0.0193394,0.01992623321712017,0.0209212,,,,,,,0.0124937,0.01265343309690555,0.0128892,,,,0.0091317,0.00913736658791701,0.0091487,,,,,,,0.0077634,0.007799933354059855,0.0078523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0143916,0.014609000024696192,0.0148909,,,,0.0113495,0.011587300027410189,0.011874,,,,,,,0.0083921,0.008454300152758757,0.0085162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0362076,0.03630843386054039,0.0363916,,,,0.0163291,0.01633393329878648,0.0163385,,,,,,,0.0144655,0.014707866435249647,0.0148538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0171693,0.017444033175706863,0.0177275,,,,0.0073627,0.00763759994879365,0.0077985,,,,,,,0.0071379,0.007429933330665032,0.0075808,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000,,,,,,,0.0241869,0.02427933303018411,0.0244252,0.0197549,0.020074067016442616,0.0202875,0.0186623,0.018963666632771492,0.0192011,0.0190579,0.01921236701309681,0.019485,0.0230899,0.023223433643579483,0.0233995,0.0142287,0.014267766537765661,0.014336,0.0144818,0.014580966594318548,0.0147054,0.0111811,0.011399533289174238,0.0117045,0.0069457,0.007087166576335828,0.0073196,0.0068541,0.007021033360312383,0.0071241,0.0069394,0.007071033275375764,0.0071416,0.0069335,0.007165266666561365,0.0073075,0.0071729,0.008132500108331442,0.0099878,0.0080157,0.008335166610777378,0.0088601,0.0194718,0.02097913312415282,0.0221872,,,,,,,0.0147574,0.014858899948497614,0.0150489,,,,0.010813,0.010909299987057844,0.0110598,,,,,,,0.0091464,0.009296600085993608,0.0095177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017356,0.0178574671347936,0.0182326,,,,0.0138997,0.014368499939640364,0.0151321,,,,,,,0.0101155,0.010249100004633268,0.0105117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0430792,0.04345263292392095,0.0437038,,,,0.0202251,0.020360233262181282,0.0206198,,,,,,,0.0180748,0.018247066686550777,0.0184215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0190959,0.01916276601453622,0.0192812,,,,0.0091197,0.009144633387525877,0.0091612,,,,,,,0.0086451,0.008651433202127615,0.0086549,,,,,,,,,,,,,,,,,,,,,,,,,,,
80000,,,,,,,0.0285433,0.02902216712633769,0.029585,0.0230535,0.023677833378314972,0.024646,0.0226954,0.022913699969649315,0.0230409,0.0231201,0.023432099570830662,0.0238656,0.0263401,0.02645613377292951,0.0266715,0.0170719,0.01736086669067542,0.0177336,0.0172782,0.017733866348862648,0.0181432,0.0140035,0.01404026678452889,0.014062,0.0076042,0.008006833338489136,0.0087586,0.00762,0.008038299934317669,0.0087011,0.0078021,0.007862133284409841,0.0079521,0.007566,0.007828366632262865,0.0083481,0.0078057,0.007948466731856266,0.0080682,0.0086726,0.010039699884752432,0.0123746,0.0200527,0.020498800401886303,0.0211405,,,,,,,0.0171237,0.017200132831931114,0.0172519,,,,0.0127238,0.012853733263909817,0.012923,,,,,,,0.0106452,0.010690999838213125,0.0107381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203202,0.02061876654624939,0.0210706,,,,0.0163609,0.01653316617012024,0.0167533,,,,,,,0.0121304,0.01214093342423439,0.0121508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0509023,0.05185129990180334,0.0524202,,,,0.0251532,0.025287033369143803,0.0255101,,,,,,,0.0224275,0.02278139938910802,0.0231402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218001,0.021855300292372704,0.0219148,,,,0.0109234,0.011299533148606619,0.0119412,,,,,,,0.0102606,0.010292866577704748,0.0103457,,,,,,,,,,,,,,,,,,,,,,,,,,,
90000,,,,,,,0.0333529,0.03370836625496546,0.0341797,0.0269246,0.02711356741686662,0.0274858,0.0276297,0.02780613365272681,0.0279837,0.0281926,0.030116133391857147,0.0317599,0.0304941,0.031113299851616222,0.0321679,0.0207392,0.021198066572348278,0.0215753,0.0215522,0.021979432553052902,0.0226288,0.0167715,0.017538100481033325,0.018857,0.0078584,0.008125000012417635,0.0084585,0.0080026,0.008263333390156427,0.0086959,0.0080623,0.008175333651403585,0.0082515,0.0084299,0.008581399917602539,0.0087415,0.0084935,0.008755633297065893,0.0089515,0.0095635,0.009952533369263014,0.0107145,0.0205796,0.020834000160296757,0.0210452,,,,,,,0.0193428,0.019717166821161907,0.0199252,,,,0.0147296,0.014963033609092236,0.015088,,,,,,,0.0123783,0.012512599738935629,0.0126187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235639,0.02372153289616108,0.0238781,,,,0.0194122,0.019453533614675205,0.0194949,,,,,,,0.0161675,0.016342866544922192,0.016635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0594879,0.060231933991114296,0.0614057,,,,0.0302312,0.030323533341288567,0.0304318,,,,,,,0.0279966,0.028085000192125637,0.028147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0247956,0.02506940004726251,0.0252285,,,,0.0130307,0.013190766796469688,0.0132722,,,,,,,0.0122347,0.012509700221319994,0.0129385,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,0.0391186,0.03948056697845459,0.0402034,0.0301483,0.031009366114934284,0.0324343,0.0318698,0.03211783369382223,0.0326122,0.0331938,0.03346849977970123,0.0337792,0.0344522,0.03470689927538236,0.035214,0.0239156,0.024188000087936718,0.0244814,0.0256575,0.025931166484951973,0.0263955,0.0200632,0.02080643301208814,0.0212493,0.0085243,0.008835499795774618,0.0091609,0.0087875,0.008864933003981909,0.0090187,0.008745,0.008887399919331074,0.009047,0.0088636,0.009013866695264975,0.0091111,0.0087048,0.008758966500560442,0.00883,0.0095934,0.010201533325016499,0.0108087,0.0214386,0.022156300644079845,0.0227301,,,,,,,0.023144,0.023276066407561302,0.023374,,,,0.0175815,0.017779600496093433,0.0179392,,,,,,,0.0145363,0.014731966579953829,0.0149394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0271128,0.027240433419744175,0.0274926,,,,0.0224135,0.02256646690269311,0.0227498,,,,,,,0.0164,0.016565366337696712,0.0168211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0681133,0.06981493284304936,0.072894,,,,0.0353392,0.035715499271949135,0.0361901,,,,,,,0.0340193,0.034135265896717705,0.0343027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0276736,0.02796286717057228,0.028216,,,,0.0150894,0.01543010026216507,0.0156169,,,,,,,0.0140391,0.014327133384843668,0.01453,,,,,,,,,,,,,,,,,,,,,,,,,,,
