Size,Ver1@Hash min,Ver1@Hash mean,Ver1@Hash max,Ver1½@Hash min,Ver1½@Hash mean,Ver1½@Hash max,Ver2-GP@Hash min,Ver2-GP@Hash mean,Ver2-GP@Hash max,Ver2½@Hash min,Ver2½@Hash mean,Ver2½@Hash max,Ver2½-GP@Hash min,Ver2½-GP@Hash mean,Ver2½-GP@Hash max,Ver2½-GPX@Hash min,Ver2½-GPX@Hash mean,Ver2½-GPX@Hash max,Ver2½-RP@Hash min,Ver2½-RP@Hash mean,Ver2½-RP@Hash max,Ver3½-GP@Hash min,Ver3½-GP@Hash mean,Ver3½-GP@Hash max,Ver3½-GPX@Hash min,Ver3½-GPX@Hash mean,Ver3½-GPX@Hash max,Ver3½=GP1@Hash min,Ver3½=GP1@Hash mean,Ver3½=GP1@Hash max,Ver3½=GP4@Hash min,Ver3½=GP4@Hash mean,Ver3½=GP4@Hash max,Ver3½=GP5@Hash min,Ver3½=GP5@Hash mean,Ver3½=GP5@Hash max,Ver3½=GP6@Hash min,Ver3½=GP6@Hash mean,Ver3½=GP6@Hash max,Ver3½=GP8@Hash min,Ver3½=GP8@Hash mean,Ver3½=GP8@Hash max,Ver3½=GP16@Hash min,Ver3½=GP16@Hash mean,Ver3½=GP16@Hash max,Ver3½=GP64@Hash min,Ver3½=GP64@Hash mean,Ver3½=GP64@Hash max,Ver3½=GP256@Hash min,Ver3½=GP256@Hash mean,Ver3½=GP256@Hash max,Ver1@hashbrown min,Ver1@hashbrown mean,Ver1@hashbrown max,Ver1½@hashbrown min,Ver1½@hashbrown mean,Ver1½@hashbrown max,Ver2-GP@hashbrown min,Ver2-GP@hashbrown mean,Ver2-GP@hashbrown max,Ver2½@hashbrown min,Ver2½@hashbrown mean,Ver2½@hashbrown max,Ver2½-GP@hashbrown min,Ver2½-GP@hashbrown mean,Ver2½-GP@hashbrown max,Ver2½-GPX@hashbrown min,Ver2½-GPX@hashbrown mean,Ver2½-GPX@hashbrown max,Ver2½-RP@hashbrown min,Ver2½-RP@hashbrown mean,Ver2½-RP@hashbrown max,Ver3½-GP@hashbrown min,Ver3½-GP@hashbrown mean,Ver3½-GP@hashbrown max,Ver3½-GPX@hashbrown min,Ver3½-GPX@hashbrown mean,Ver3½-GPX@hashbrown max,Ver3½=GP1@hashbrown min,Ver3½=GP1@hashbrown mean,Ver3½=GP1@hashbrown max,Ver3½=GP4@hashbrown min,Ver3½=GP4@hashbrown mean,Ver3½=GP4@hashbrown max,Ver3½=GP5@hashbrown min,Ver3½=GP5@hashbrown mean,Ver3½=GP5@hashbrown max,Ver3½=GP6@hashbrown min,Ver3½=GP6@hashbrown mean,Ver3½=GP6@hashbrown max,Ver3½=GP8@hashbrown min,Ver3½=GP8@hashbrown mean,Ver3½=GP8@hashbrown max,Ver3½=GP16@hashbrown min,Ver3½=GP16@hashbrown mean,Ver3½=GP16@hashbrown max,Ver3½=GP64@hashbrown min,Ver3½=GP64@hashbrown mean,Ver3½=GP64@hashbrown max,Ver3½=GP256@hashbrown min,Ver3½=GP256@hashbrown mean,Ver3½=GP256@hashbrown max,Ver1@fnv min,Ver1@fnv mean,Ver1@fnv max,Ver1½@fnv min,Ver1½@fnv mean,Ver1½@fnv max,Ver2-GP@fnv min,Ver2-GP@fnv mean,Ver2-GP@fnv max,Ver2½@fnv min,Ver2½@fnv mean,Ver2½@fnv max,Ver2½-GP@fnv min,Ver2½-GP@fnv mean,Ver2½-GP@fnv max,Ver2½-GPX@fnv min,Ver2½-GPX@fnv mean,Ver2½-GPX@fnv max,Ver2½-RP@fnv min,Ver2½-RP@fnv mean,Ver2½-RP@fnv max,Ver3½-GP@fnv min,Ver3½-GP@fnv mean,Ver3½-GP@fnv max,Ver3½-GPX@fnv min,Ver3½-GPX@fnv mean,Ver3½-GPX@fnv max,Ver3½=GP1@fnv min,Ver3½=GP1@fnv mean,Ver3½=GP1@fnv max,Ver3½=GP4@fnv min,Ver3½=GP4@fnv mean,Ver3½=GP4@fnv max,Ver3½=GP5@fnv min,Ver3½=GP5@fnv mean,Ver3½=GP5@fnv max,Ver3½=GP6@fnv min,Ver3½=GP6@fnv mean,Ver3½=GP6@fnv max,Ver3½=GP8@fnv min,Ver3½=GP8@fnv mean,Ver3½=GP8@fnv max,Ver3½=GP16@fnv min,Ver3½=GP16@fnv mean,Ver3½=GP16@fnv max,Ver3½=GP64@fnv min,Ver3½=GP64@fnv mean,Ver3½=GP64@fnv max,Ver3½=GP256@fnv min,Ver3½=GP256@fnv mean,Ver3½=GP256@fnv max,Ver1@BTree min,Ver1@BTree mean,Ver1@BTree max,Ver1½@BTree min,Ver1½@BTree mean,Ver1½@BTree max,Ver2-GP@BTree min,Ver2-GP@BTree mean,Ver2-GP@BTree max,Ver2½@BTree min,Ver2½@BTree mean,Ver2½@BTree max,Ver2½-GP@BTree min,Ver2½-GP@BTree mean,Ver2½-GP@BTree max,Ver2½-GPX@BTree min,Ver2½-GPX@BTree mean,Ver2½-GPX@BTree max,Ver2½-RP@BTree min,Ver2½-RP@BTree mean,Ver2½-RP@BTree max,Ver3½-GP@BTree min,Ver3½-GP@BTree mean,Ver3½-GP@BTree max,Ver3½-GPX@BTree min,Ver3½-GPX@BTree mean,Ver3½-GPX@BTree max,Ver3½=GP1@BTree min,Ver3½=GP1@BTree mean,Ver3½=GP1@BTree max,Ver3½=GP4@BTree min,Ver3½=GP4@BTree mean,Ver3½=GP4@BTree max,Ver3½=GP5@BTree min,Ver3½=GP5@BTree mean,Ver3½=GP5@BTree max,Ver3½=GP6@BTree min,Ver3½=GP6@BTree mean,Ver3½=GP6@BTree max,Ver3½=GP8@BTree min,Ver3½=GP8@BTree mean,Ver3½=GP8@BTree max,Ver3½=GP16@BTree min,Ver3½=GP16@BTree mean,Ver3½=GP16@BTree max,Ver3½=GP64@BTree min,Ver3½=GP64@BTree mean,Ver3½=GP64@BTree max,Ver3½=GP256@BTree min,Ver3½=GP256@BTree mean,Ver3½=GP256@BTree max,Ver1@ord_vec min,Ver1@ord_vec mean,Ver1@ord_vec max,Ver1½@ord_vec min,Ver1½@ord_vec mean,Ver1½@ord_vec max,Ver2-GP@ord_vec min,Ver2-GP@ord_vec mean,Ver2-GP@ord_vec max,Ver2½@ord_vec min,Ver2½@ord_vec mean,Ver2½@ord_vec max,Ver2½-GP@ord_vec min,Ver2½-GP@ord_vec mean,Ver2½-GP@ord_vec max,Ver2½-GPX@ord_vec min,Ver2½-GPX@ord_vec mean,Ver2½-GPX@ord_vec max,Ver2½-RP@ord_vec min,Ver2½-RP@ord_vec mean,Ver2½-RP@ord_vec max,Ver3½-GP@ord_vec min,Ver3½-GP@ord_vec mean,Ver3½-GP@ord_vec max,Ver3½-GPX@ord_vec min,Ver3½-GPX@ord_vec mean,Ver3½-GPX@ord_vec max,Ver3½=GP1@ord_vec min,Ver3½=GP1@ord_vec mean,Ver3½=GP1@ord_vec max,Ver3½=GP4@ord_vec min,Ver3½=GP4@ord_vec mean,Ver3½=GP4@ord_vec max,Ver3½=GP5@ord_vec min,Ver3½=GP5@ord_vec mean,Ver3½=GP5@ord_vec max,Ver3½=GP6@ord_vec min,Ver3½=GP6@ord_vec mean,Ver3½=GP6@ord_vec max,Ver3½=GP8@ord_vec min,Ver3½=GP8@ord_vec mean,Ver3½=GP8@ord_vec max,Ver3½=GP16@ord_vec min,Ver3½=GP16@ord_vec mean,Ver3½=GP16@ord_vec max,Ver3½=GP64@ord_vec min,Ver3½=GP64@ord_vec mean,Ver3½=GP64@ord_vec max,Ver3½=GP256@ord_vec min,Ver3½=GP256@ord_vec mean,Ver3½=GP256@ord_vec max
500000,,,,,,,,,,,,,0.2136492,0.2156024326880773,0.2179403,,,,,,,0.19435671,0.1956466088692347,0.1981316,,,,0.2724945,0.27614859739939374,0.28157628,0.2709113,0.28033729394276935,0.2905267,0.2783879,0.2854461669921875,0.2970632,0.2897765,0.30531764030456543,0.315254,0.28687778,0.3022749125957489,0.32415068,0.2891321,0.3124077618122101,0.3524295,0.29100507,0.3975571195284526,0.6065715,0.29699138,0.7599493265151978,1.6729493,,,,,,,,,,,,,0.1842306,0.18630699813365936,0.18972209,,,,,,,0.19139169,0.19196106493473053,0.1930076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18994209,0.19090319673220316,0.1918812,,,,,,,0.1759328,0.17749313016732535,0.1797459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22974129,0.23073970278104147,0.2319308,,,,,,,0.1673835,0.16870309909184775,0.17002009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1302102,0.13369773825009665,0.1376007,,,,,,,0.1539908,0.15564730763435364,0.15679581,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000,,,,,,,,,,,,,0.3118603,0.3169593910376231,0.32376,,,,,,,0.30149493,0.30692073702812195,0.3136174,,,,0.39273742,0.39449454347292584,0.3964231,0.4131266,0.41631845633188885,0.42039528,0.416748,0.4292359948158264,0.4473184,0.440981,0.4502046008904775,0.4554392,0.41901317,0.45450229446093243,0.4999313,0.4195038,0.44294973214467365,0.48295,0.4264392,0.6474479138851166,0.7596313,0.4366004,1.664896587530772,3.403344,,,,,,,,,,,,,0.2909333,0.2951572934786479,0.2980871,,,,,,,0.3309774,0.33965174357096356,0.34862942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2747086,0.2768092652161916,0.2807962,,,,,,,0.27047992,0.2723880708217621,0.2754545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3230982,0.3277108371257782,0.3310592,,,,,,,0.2587216,0.2601284285386403,0.26150498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1928172,0.19531833132108053,0.1992459,,,,,,,0.2291141,0.23184853792190552,0.23418,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000,,,,,,,,,,,,,0.40656498,0.40859342614809674,0.4107496,,,,,,,0.4041287,0.41055554151535034,0.41447642,,,,0.4608207,0.4661506414413452,0.47397912,0.4951096,0.4999646246433258,0.5029111,0.5005757,0.5057616631189982,0.5109203,0.5080344,0.5254063407580057,0.5431947,0.5245151,0.5430745283762614,0.5542821,0.5108221,0.5535390178362528,0.58796173,0.51274294,0.7330014904340109,1.02144,0.5277368,1.0093360741933186,1.2577246,,,,,,,,,,,,,0.373643,0.37978866696357727,0.3830016,,,,,,,0.4316408,0.43385737140973407,0.436514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3594754,0.3618532319863637,0.3640354,,,,,,,0.41695422,0.4214150309562683,0.42631608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4151698,0.4216463069121043,0.42810372,,,,,,,0.35376328,0.35948766271273297,0.3642647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24022259,0.24301483233769736,0.2455078,,,,,,,0.2911893,0.293729305267334,0.2956565,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,,,,,,,,,,,,,0.5027947,0.5086721380551656,0.51408464,,,,,,,0.5175107,0.5196576714515686,0.5225106,,,,0.528391,0.5357486406962076,0.5416181,0.56645954,0.578317403793335,0.5983727,0.5781231,0.8637255430221558,1.4046658,0.5941241,0.6066232323646545,0.63074505,0.5875685,0.5917734503746033,0.59929615,0.6227356,0.6350122094154358,0.6595184,0.5859975,0.8051996827125549,1.0774517,1.354344,2.2750761906305947,3.4637175,,,,,,,,,,,,,0.4266093,0.42769839366277057,0.428744,,,,,,,0.4818418,0.4843464295069377,0.48894098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45021307,0.4523257911205292,0.4534727,,,,,,,0.4545589,0.4549756447474162,0.4554817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5137129,0.5177680452664694,0.5242025,,,,,,,0.4624426,0.46354763706525165,0.4641412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3107658,0.3125365674495697,0.31376702,,,,,,,0.3528405,0.3547443747520447,0.3582336,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500000,,,,,,,,,,,,,0.6055017,0.6107534170150757,0.6140181,,,,,,,0.6400589,0.7441404461860657,0.941923,,,,0.5808987,0.601524551709493,0.6366879,0.6675891,0.7539566159248352,0.8364759,0.6367371,0.6378748814264933,0.6396525,0.6527537,0.6696148912111918,0.702957,0.6611719,0.7104649742444357,0.7924423,0.72095805,0.8505059281984965,0.91947186,0.6691696,0.8304548263549805,0.97227967,0.66090596,0.9033640424410502,1.3862902,,,,,,,,,,,,,0.5029596,0.5040759444236755,0.5059579,,,,,,,0.58760357,0.5887494683265686,0.59028494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5273406,0.5303293267885844,0.5324059,,,,,,,0.55887115,0.5637392004330953,0.5676375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61114705,0.6137850681940714,0.6167015,,,,,,,0.5813458,0.5831641554832458,0.5844096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3559703,0.35997046033541363,0.36517778,,,,,,,0.42179558,0.4230653643608093,0.4248478,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750000,,,,,,,,,,,,,0.7072594,0.7280144294102987,0.7676491,,,,,,,0.7669848,0.7671663959821066,0.76745677,,,,0.6527101,0.6571670969327291,0.6600405,0.6850332,0.6951233347256979,0.7030732,0.7088407,0.7096643050511678,0.7101812,0.7071678,0.7171896894772848,0.73651344,0.7160821,0.7383321722348531,0.770324,0.7631038,0.7666239738464355,0.7686222,1.081435,1.1785581906636555,1.2274116,1.4453049,1.5580497980117798,1.7737238,,,,,,,,,,,,,0.5728817,0.5762193004290262,0.5805101,,,,,,,0.6729364,0.6745230356852213,0.6755843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6075069,0.6103975772857666,0.6140466,,,,,,,0.6624825,0.664811392625173,0.6677288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7056457,0.7088544170061747,0.714186,,,,,,,0.7093028,0.7117976943651835,0.7133994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41820428,0.42020068566004437,0.4236438,,,,,,,0.49521288,0.497574786345164,0.5011127,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000000,,,,,,,,,,,,,0.8137021,0.8169423540433248,0.8187335,,,,,,,0.8876281,0.8888984322547913,0.89003164,,,,0.6839404,0.7083832621574402,0.7468694,0.724891,0.7544169624646505,0.7724302,0.73343575,0.7935218811035156,0.8678478,0.7507689,0.7754964828491211,0.79242164,0.74588555,0.7859638333320618,0.83414114,0.8060723,0.8447330792744955,0.8987975,0.9628403,1.1467628479003906,1.4088764,1.4858305,1.743833859761556,2.2417219,,,,,,,,,,,,,0.6902388,0.692487100760142,0.69563663,,,,,,,0.8098255,0.8109925587972006,0.8118861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6930492,0.694634755452474,0.6976464,,,,,,,0.7461873,0.7479377388954163,0.74935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7973765,0.7998318473498026,0.80288243,,,,,,,0.8275683,0.8289085229237875,0.82976884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4956665,0.49821197986602783,0.5007001,,,,,,,0.56296784,0.5647174517313639,0.5661652,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000,,,,,,,,,,,,,1.2455876,1.2549690405527751,1.2709464,,,,,,,1.3537934,1.361287514368693,1.36608,,,,0.9222174,0.9270639022191366,0.930677,0.89816606,0.8994075059890747,0.9000397,0.91298914,0.9166376193364462,0.92157173,0.92144424,0.9360459844271342,0.9524247,0.9325324,0.9460666179656982,0.9653185,0.9116766,0.9554320772488912,1.0404717,0.92868555,1.1210935513178508,1.2786582,2.3091693,2.3671050866444907,2.4127138,,,,,,,,,,,,,0.9287107,0.9356963833173116,0.9430453,,,,,,,1.0647476,1.0668775240580242,1.0707626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0309438,1.0637049674987793,1.1134856,,,,,,,1.0327473,1.035740613937378,1.0378311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1690696,1.1697073777516682,1.1705534,,,,,,,1.274565,1.2768786748250325,1.2793179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76080215,0.7654240528742472,0.768795,,,,,,,0.8231516,0.8255409002304077,0.8278855,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000000,,,,,,,,,,,,,1.680771,1.687445600827535,1.6949468,,,,,,,1.8013256,1.8035738468170166,1.8053288,,,,1.1914971,1.2120985984802246,1.2315273,1.0450577,1.0593135754267375,1.0742733,1.100192,1.143104910850525,1.1996374,1.1206621,1.122761845588684,1.1238861,1.1002438,1.130660057067871,1.1844081,1.0646147,1.0902333656946819,1.1184193,1.257391,1.3460971117019653,1.4229276,1.915549,2.1906368732452393,2.6889415,,,,,,,,,,,,,1.2388487,1.2421046892801921,1.2442704,,,,,,,1.333945,1.3347141742706299,1.3357338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3871449,1.391692876815796,1.395758,,,,,,,1.395158,1.3986159165700276,1.4024614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6627971,1.6642105182011921,1.6663647,,,,,,,1.8471404,1.8517842690149944,1.8591299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0814846,1.0933476686477661,1.1065575,,,,,,,1.2208967,1.2280349334081013,1.2372345,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000000,,,,,,,,,,,,,2.197488,2.350262006123861,2.5460184,,,,,,,2.3103695,2.3953870932261148,2.5597918,,,,1.5745375,1.607973535855611,1.6623284,1.3130178,1.3329589366912842,1.3711236,1.2450962,1.3005220492680867,1.3380469,1.3094664,1.3323238293329875,1.3550011,1.3266733,1.3308239777882893,1.3387184,1.3600425,1.4008415937423706,1.4690679,1.4921632,1.5614527463912964,1.6533062,1.4585893,3.637117624282837,5.715994,,,,,,,,,,,,,1.5557551,1.564210573832194,1.5762625,,,,,,,1.6218226,1.6358325878779094,1.6433489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7557604,1.7573886315027873,1.7590613,,,,,,,1.817722,1.8203988472620647,1.8219838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3306723,2.337347428003947,2.3418112,,,,,,,2.6149993,2.6236499150594077,2.6346397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3584102,1.3782024780909221,1.4126866,,,,,,,1.506281,1.5171106259028118,1.5323954,,,,,,,,,,,,,,,,,,,,,,,,,,,
